inputobjs_input_id,inputobjs_input_ra,inputobjs_input_dec,inputobjs_dist,catalogue_obsid,catalogue_obsdate,catalogue_lmjd,catalogue_mjd,catalogue_planid,catalogue_spid,catalogue_fiberid,catalogue_class,catalogue_subclass,catalogue_z,catalogue_mag1,catalogue_mag2,catalogue_mag3,catalogue_mag4,catalogue_mag5,catalogue_ra,catalogue_dec,stellar_teff,stellar_logg,stellar_feh,stellar_rv
188,40.582032,0.134770,0.111657740850286819,21101127,2011-12-25,55921,55920,F5592102,1,127,STAR,K5,0.0000931978,18.66,16.45,15.52,15.20,15.01,40.5820010000,0.1347710000,4522.81,4.670,-0.527,27.94
826,161.891853,0.694491,0.0129793244325138932,21302035,2011-12-25,55921,55920,F5592105,2,35,STAR,G8,0.0004911064,19.24,17.70,17.06,16.77,16.64,161.8918500000,0.6944890000,5073.62,4.387,-0.948,147.23
479,199.333992,-0.584540,0.00804950956876114045,26815122,2012-01-05,55932,55931,F5593201,15,122,STAR,G7,-0.0001900648,17.20,15.61,15.01,14.81,14.70,199.3339900000,-0.5845390000,5085.36,2.890,-0.925,-56.98
968,210.400051,-0.759892,0.0113832986430428187,38313108,2012-02-08,55966,55965,B5596609,13,108,STAR,F8,0.0001641469,16.62,15.56,15.20,15.09,15.09,210.4000540000,-0.7598930000,5927.33,4.383,-0.826,49.21
968,210.400051,-0.759892,0.0113832986430428187,41813108,2012-02-15,55973,55972,F5597308,13,108,STAR,F6,0.0000497678,16.62,15.56,15.20,15.09,15.09,210.4000540000,-0.7598930000,5884.25,4.058,-0.952,14.92
180,221.064126,0.587618,0.0569183035974274096,42415153,2012-02-18,55976,55975,F5597606,15,153,STAR,G7,-0.0001013368,17.98,16.47,15.89,15.67,15.59,221.0641110000,0.5876230000,5295.95,4.549,-0.555,-30.38
278,186.579430,0.054573,0.0439435936675958913,94201076,2012-12-23,56285,56284,HD122600N020231M01,1,76,STAR,G7,0.0000057707,15.52,14.83,14.56,16.00,15.11,186.5794230000,0.0545630000,4806.89,2.085,-1.360,1.73
271,194.346495,-3.366492,0,105704135,2013-01-09,56302,56301,HD125839S025413M01,4,135,STAR,F7,0.0000964334,16.19,15.77,15.61,15.53,99.00,194.3464950000,-3.3664920000,5667.47,3.729,-1.121,28.91
1055,222.500085,-0.819663,0.055069194150728272,132212111,2013-03-06,56358,56357,HD144346S023019B01,12,111,STAR,K4,-0.0000085059,14.50,13.86,13.63,15.00,14.17,222.5000880000,-0.8196480000,4745.13,4.585,-0.090,-2.55
1055,222.500085,-0.819663,0.055069194150728272,132312111,2013-03-06,56358,56357,HD144346S023019M01,12,111,STAR,K5,-0.0000244836,14.50,13.86,13.63,15.00,14.17,222.5000880000,-0.8196480000,4646.55,4.536,-0.074,-7.34
685,148.805198,0.825902,0.00101818093555963956,141115217,2013-04-06,56389,56388,HD095639S002741F01,15,217,STAR,F0,0.0008155642,18.05,17.08,16.75,16.62,16.58,148.8051982000,0.8259018000,5977.94,4.564,-1.563,244.50
776,180.026527,-0.471709,0.0717292713686456529,199802153,2013-12-27,56654,56653,HD120800N003716B01,2,153,STAR,G4,0.0000118749,14.93,14.49,14.34,99.00,99.00,180.0265210000,-0.4717280000,5477.52,3.767,-0.283,3.56
263,183.104700,-1.242807,0.16858794204069788,199807212,2013-12-27,56654,56653,HD120800N003716B01,7,212,STAR,K5,-0.0001146126,15.75,14.90,14.59,99.00,99.00,183.1047450000,-1.2427940000,4502.29,4.673,-0.178,-34.36
531,183.456200,0.911031,0.00101816946204231085,199813228,2013-12-27,56654,56653,HD120800N003716B01,13,228,STAR,F5,0.0002508736,18.22,17.03,16.67,16.52,16.45,183.4562002000,0.9110308000,6230.75,3.985,-1.058,75.21
592,181.728036,-0.603293,0.00129797634271263404,200605085,2013-12-29,56656,56655,HD120800N003716M01,5,85,STAR,G3,0.0000946988,18.83,17.64,17.17,17.01,16.97,181.7280358000,-0.6032927000,5582.42,4.556,-0.736,28.39
898,181.210038,-0.478778,0.104485699313003874,200605228,2013-12-29,56656,56655,HD120800N003716M01,5,228,STAR,G5,0.0000981679,17.62,17.15,16.96,99.00,99.00,181.2100670000,-0.4787768000,5418.50,4.428,-0.374,29.43
15,161.612067,0.658037,0.00230506537321138174,202401115,2014-01-01,56659,56658,HD104509N022916B01,1,115,STAR,F5,-0.0001007364,17.79,16.67,16.36,16.25,16.24,161.6120674000,0.6580365000,6203.18,4.354,-0.472,-30.20
720,162.714190,-1.005201,0.0821685910538050707,205109116,2014-01-09,56667,56666,HD104840S015732B,9,116,STAR,F7,0.0004960432,15.61,15.09,14.80,99.00,99.00,162.7142010000,-1.0052210000,5259.98,2.465,-1.327,148.71
626,161.979318,-0.107279,0.0719999545796826262,205111012,2014-01-09,56667,56666,HD104840S015732B,11,12,STAR,G7,0.0000407949,15.21,14.64,14.49,99.00,99.00,161.9793060000,-0.1072950000,5525.39,3.967,0.136,12.23
598,179.868706,-0.589612,0.135699958927145842,229209192,2014-03-24,56741,56740,HD115451S012705B,9,192,STAR,G4,0.0000690144,16.84,16.40,16.25,99.00,99.00,179.8686710000,-0.5895980000,5356.82,4.309,-0.533,20.69
483,224.367913,0.492218,0.239357721952036417,232602048,2014-04-04,56752,56751,HD150254N020528B01,2,48,STAR,G2,0.0002584455,17.04,16.61,16.47,99.00,99.00,224.3678480000,0.4922040000,5548.53,4.694,-1.076,77.48
