inputobjs_input_id,inputobjs_input_ra,inputobjs_input_dec,inputobjs_dist,catalogue_obsid,catalogue_obsdate,catalogue_lmjd,catalogue_mjd,catalogue_planid,catalogue_spid,catalogue_fiberid,catalogue_class,catalogue_subclass,catalogue_z,catalogue_mag1,catalogue_mag2,catalogue_mag3,catalogue_mag4,catalogue_mag5,catalogue_ra,catalogue_dec,stellar_teff,stellar_logg,stellar_feh,stellar_rv
874,199.147423,-0.018142,0.0148431795004833663,26815049,2012-01-05,55932,55931,F5593201,15,49,STAR,G4,0.0000393606,16.03,14.56,14.08,13.91,13.86,199.1474190000,-0.0181410000,5578.93,4.161,-0.080,11.80
1474,180.880583,-0.892455,0.0375809205103795965,41703196,2012-02-15,55973,55972,F5597306,3,196,STAR,G3,0.0002022733,15.96,14.82,14.27,14.05,13.94,180.8805930000,-0.8924520000,5314.29,4.379,-1.463,60.64
1488,181.360831,-1.003348,0.010798344118195179,41704137,2012-02-15,55973,55972,F5597306,4,137,STAR,G7,0.0000017012,16.84,15.29,14.75,14.58,14.51,181.3608340000,-1.0033480000,5429.43,4.554,-0.160,0.51
6,180.241669,-0.557075,0.0445275598448291801,41714057,2012-02-15,55973,55972,F5597306,14,57,STAR,G1,-0.0001361275,17.60,16.53,16.07,15.90,15.80,180.2416570000,-0.5570780000,5559.04,4.399,-1.265,-40.81
1491,260.418951,26.478772,0.050502906794970312,52714200,2012-06-17,56096,56095,B5609603,14,200,STAR,F9,-0.0000606753,17.14,15.57,15.01,14.85,14.78,260.4189500000,26.4787580000,5861.54,4.689,0.257,-18.19
1106,149.087102,0.305417,0,141215107,2013-04-06,56389,56388,HD095639S002741M01,15,107,STAR,G3,0.0000741847,16.00,15.47,15.29,15.25,99.00,149.0871020000,0.3054170000,5482.16,4.480,-0.293,22.24
1300,121.181861,47.299642,0.192770182142865509,198803121,2013-12-26,56653,56652,HD081205N465629B01,3,121,STAR,G8,-0.0001971697,16.43,15.82,15.68,99.00,99.00,121.1818160000,47.2996860000,5219.52,4.568,-0.199,-59.11
397,180.330546,-0.490310,0.350984188105737061,199802194,2013-12-27,56654,56653,HD120800N003716B01,2,194,STAR,F5,0.0005425420,16.81,16.48,16.35,99.00,99.00,180.3304550000,-0.4903450000,5961.37,4.283,-1.275,162.65
79,181.641743,-0.544082,0.00179991880532727965,200605033,2013-12-29,56656,56655,HD120800N003716M01,5,33,STAR,K5,0.0000076053,20.99,18.38,17.31,16.96,16.75,181.6417425000,-0.5440820000,4413.59,4.725,-0.050,2.28
158,161.784456,0.353810,0.00152733606847890876,202401177,2014-01-01,56659,56658,HD104509N022916B01,1,177,STAR,G7,0.0000814897,18.60,17.24,16.68,16.46,16.35,161.7844557000,0.3538097000,5368.63,4.535,-0.643,24.43
1283,162.766420,-0.860514,0.247223758417381811,205109112,2014-01-09,56667,56666,HD104840S015732B,9,112,STAR,G8,0.0001765888,15.83,15.18,14.92,99.00,99.00,162.7663540000,-0.8605330000,5404.25,4.485,-0.139,52.94
1200,162.396726,0.246617,0.0544778766100231376,205111225,2014-01-09,56667,56666,HD104840S015732B,11,225,STAR,F0,0.0005485795,15.86,15.51,15.37,99.00,99.00,162.3967240000,0.2466020000,6216.81,4.141,-1.337,164.46
291,161.442830,-0.042658,0.0698993377456627596,205116137,2014-01-09,56667,56666,HD104840S015732B,16,137,STAR,G9,0.0001086752,15.37,14.71,14.49,99.00,99.00,161.4428490000,-0.0426620000,5155.67,4.706,-0.174,32.58
995,179.868706,-0.589612,0.135699958927145842,229209192,2014-03-24,56741,56740,HD115451S012705B,9,192,STAR,G4,0.0000690144,16.84,16.40,16.25,99.00,99.00,179.8686710000,-0.5895980000,5356.82,4.309,-0.533,20.69
471,55.729708,0.903398,0.00203634096291525554,278307163,2014-12-11,57003,57002,EG033855N024548B01,7,163,STAR,G3,0.0000622764,17.33,15.96,15.43,15.21,15.09,55.7297084000,0.9033976000,5542.25,4.240,-0.427,18.67
145,126.276962,47.852258,0.119505937491536054,302901062,2015-01-23,57046,57045,HD082820N494114M01,1,62,STAR,F6,0.0000312550,17.49,17.17,17.05,99.00,99.00,126.2769793000,47.8522269000,5982.34,4.178,-1.644,9.37
479,128.653487,49.837537,0.179122893156209356,302909006,2015-01-23,57046,57045,HD082820N494114M01,9,6,STAR,F0,-0.0003874013,17.86,17.58,17.47,99.00,99.00,128.6535212000,49.8374924000,6353.71,4.331,-1.234,-116.14
57,198.138400,0.129435,0.0849629745213607707,327506040,2015-03-01,57083,57082,HD130444N001742B01,6,40,STAR,F0,0.0002900673,16.05,15.80,15.71,99.00,99.00,198.1383860000,0.1294160000,6162.83,4.018,-1.842,86.96
859,166.984835,-0.079999,0.000509116617676899099,335106028,2015-03-19,57101,57100,HD110103N000249B01,6,28,STAR,F6,0.0000204808,17.04,15.90,15.55,15.42,15.38,166.9848351000,-0.0799989000,6128.70,4.181,-0.502,6.14
1192,162.952954,-0.537272,0.00101821128782627083,335110108,2015-03-19,57101,57100,HD110103N000249B01,10,108,STAR,G7,0.0000265183,18.94,17.34,16.75,16.54,16.46,162.9529542000,-0.5372718000,5331.13,4.522,-0.264,7.95
1310,21.250404,13.632007,0.579044027669463057,363602100,2015-10-03,57299,57298,EG013129N152044B01,2,100,STAR,K4,-0.0000457316,15.89,15.30,15.08,99.00,99.00,21.2502560000,13.6319350000,4554.54,4.461,-0.444,-13.71
814,57.512104,0.084887,0.00179999926835746997,382404101,2015-11-09,57336,57335,EG034838N001340M01,4,101,STAR,F0,0.0000716829,18.84,17.63,17.09,16.84,16.71,57.5121037000,0.0848866000,6110.67,4.069,-1.054,21.49
1477,121.133997,46.807038,0.00123202362052340334,401603089,2016-01-06,57394,57393,HD081205N465629M01,3,89,STAR,K3,-0.0002178174,20.09,17.98,17.11,16.79,16.61,121.1339965000,46.8070380000,4739.49,4.645,-0.153,-65.30
727,121.639992,47.550628,0.00102457021747674759,401603205,2016-01-06,57394,57393,HD081205N465629M01,3,205,STAR,G2,0.0001633797,19.23,18.00,17.54,17.39,17.33,121.6399923000,47.5506278000,5765.35,4.432,-0.660,48.98
158,161.784456,0.353810,0.795432253366965991,401701177,2016-01-06,57394,57393,HD104509N022916M01,1,177,STAR,G3,0.0000592410,17.33,16.87,16.30,99.00,99.00,161.7843183000,0.3539828000,5246.52,4.213,-0.717,17.76
899,222.491454,0.548738,0.197716410874733739,422207113,2016-02-08,57427,57426,HD144614N015334M01,7,113,STAR,G5,-0.0001638467,17.38,16.89,16.74,99.00,99.00,222.4914684000,0.5486850000,5392.11,4.447,-0.234,-49.12
1259,223.035008,0.494678,0,422207195,2016-02-08,57427,57426,HD144614N015334M01,7,195,STAR,G2,0.0001552074,18.35,17.13,16.69,16.53,16.47,223.0350080000,0.4946780000,5646.05,4.239,-0.644,46.53
1488,181.360831,-1.003348,0.312031408870794169,435602067,2016-03-06,57454,57453,HD120800N003716B02,2,67,STAR,F9,0.0000058707,15.21,14.74,14.58,99.00,99.00,181.3608980000,-1.0034030000,5384.12,4.435,-0.158,1.76
1204,180.551800,-0.944840,0.108285900696689294,435602126,2016-03-06,57454,57453,HD120800N003716B02,2,126,STAR,G7,-0.0001996715,16.76,16.25,16.03,99.00,99.00,180.5518290000,-0.9448480000,5166.56,2.817,-1.404,-59.86
1192,162.952954,-0.537272,0.00101821128782627083,437509094,2016-03-10,57458,57457,HD104840S015732M01,9,94,STAR,G8,0.0000122752,18.94,17.34,16.75,16.54,16.46,162.9529542000,-0.5372718000,5290.05,4.256,-0.274,3.68
158,161.784456,0.353810,0.00152733606847890876,437511159,2016-03-10,57458,57457,HD104840S015732M01,11,159,STAR,G6,0.0001058732,18.60,17.24,16.68,16.46,16.35,161.7844557000,0.3538097000,5246.29,4.303,-0.828,31.74
1036,163.196202,-0.558606,0.00107999997676297074,437512092,2016-03-10,57458,57457,HD104840S015732M01,12,92,STAR,G3,0.0008027554,19.18,17.90,17.37,17.16,17.05,163.1962020000,-0.5586057000,5193.05,2.828,-1.466,240.66
1192,162.952954,-0.537272,0.00101821128782627083,438210108,2016-03-11,57459,57458,HD110103N000249M01,10,108,STAR,G7,0.0000193467,18.94,17.34,16.75,16.54,16.46,162.9529542000,-0.5372718000,5241.35,4.431,-0.389,5.80
