#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648703518998559,219.118588910463,-0.644499944519037,18.70996,18.55123,18.4389,18.26285,18.04574,752,301,2,505,344529797004683264,QSO,2.050211,306,51637,16
1237648703518408882,217.756888247794,-0.714354880414317,19.34039,18.94457,18.8008,18.80692,18.05679,752,301,2,496,344584222830258176,QSO,0.3336057,306,51637,214
1237648703510937644,200.769107644535,-0.649035403261077,18.87253,18.68659,18.33128,17.8846,17.82574,752,301,2,382,4560011264881520640,QSO,1.826098,4050,55599,424
1237648703509561585,197.669959937321,-0.778589398397299,19.3088,19.29691,19.04823,19.07047,19.16936,752,301,2,361,331017079832471552,QSO,1.141155,294,51986,9
1237648703523782905,230.024563050028,-0.6343096819895,19.53749,19.2432,19.34173,19.19473,18.83008,752,301,2,578,1040432984286586880,QSO,0.3966255,924,52409,369
1237648703506808877,191.384859286209,-0.795040772453852,19.08984,19.04455,19.00181,18.81487,18.58106,752,301,2,319,328843339019347968,QSO,2.006084,292,51609,293
1237648703505891581,189.237402630635,-0.685386266230866,19.31247,19.16143,19.06491,18.80104,18.83984,752,301,2,305,326559109182679040,QSO,1.69307,290,51941,175
1237648703505170603,187.61724131654,-0.733857029643258,19.1726,18.86333,18.29103,17.87178,17.64289,752,301,2,294,325385381342111744,QSO,0.2362279,289,51990,1
1237648702995300521,249.229209983576,-1.11955156013528,18.9724,18.52703,18.5779,18.34326,18.29844,752,301,1,706,391825290243893248,QSO,0.5228189,348,51671,44
1237648702994252251,246.804185747446,-1.24781332323073,19.40287,19.28411,19.07094,19.0055,19.05458,752,301,1,690,409851239145170944,QSO,0.9718176,364,52000,86
1237648702986912068,230.053172641477,-1.06841028535446,19.59804,19.19079,19.08398,19.04906,18.96406,752,301,1,578,1040435183309842432,QSO,0.7349606,924,52409,377
1237648702986715202,229.643959670645,-1.09035719409883,18.85496,18.44358,18.44245,18.45629,18.51372,752,301,1,575,351293718533269504,QSO,0.6523219,312,51689,47
1237648702985273403,226.311544162434,-1.23842131525223,19.30993,19.15899,19.18368,19.31475,19.22035,752,301,1,553,349054018397431808,QSO,0.8475645,310,51990,91
1237648702985076874,225.830103429181,-1.18867399827082,19.4694,19.15745,19.09846,18.8974,18.81694,752,301,1,550,349084254967195648,QSO,1.519381,310,51990,201
1237648703520374938,222.377045410552,-0.796213304109115,18.05195,17.8885,17.49082,17.31349,17.09756,752,301,2,526,346789018941286400,QSO,0.2524521,308,51662,43
1237648703518212303,217.307142598583,-0.738043399303197,19.34134,18.9962,18.85617,18.90776,18.79518,752,301,2,493,344606213062813696,QSO,0.8080961,306,51637,294
1237648703517622402,215.95607735098,-0.645832645133304,19.54607,19.49413,19.17522,19.09769,19.2058,752,301,2,484,343479762997504000,QSO,1.287488,305,51613,292
