#Table1
objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237645941291614227,49.6274851208606,-1.04176913896024,17.65021,16.16866,15.59175,15.37656,15.27109,109,301,1,100,1705795582662043648,STAR,-9.765775E-05,1515,52932,208
1237645941824356481,40.2721052362915,-0.642510253203777,19.24055,17.53154,16.87632,16.62847,16.48699,109,301,2,37,1204744279872792576,STAR,-5.2202E-05,1070,52591,114
1237645942898229350,40.5820323404506,0.134770088388014,18.65073,16.4431,15.52037,15.17877,14.98173,109,301,4,39,8253120482569285632,STAR,0.0001422299,7330,56684,997
1237645942905569371,57.2816152115541,0.0187678781446029,16.47596,14.92695,14.55624,14.52711,14.1981,109,301,4,151,1398498574852974592,STAR,-0.0001421523,1242,52901,476
1237645942905700356,57.5121037051412,0.0848866324261686,18.83951,17.62928,17.09077,16.84065,16.70736,109,301,4,153,1838729563224434688,STAR,8.889643E-05,1633,52998,491
1237645942905700448,57.6053752995322,0.0272751221291997,18.21873,15.95246,14.95636,14.59039,14.36437,109,301,4,153,1398503797533206528,STAR,-2.619098E-05,1242,52901,495
1237645942905831562,57.9434578359308,0.0596777776294939,16.93513,15.38514,14.69812,14.43655,14.32276,109,301,4,155,1398517266550646784,STAR,0.0001166088,1242,52901,544
1237645942906028070,58.3040235328182,0.0138136548305582,18.52717,17.24245,16.77431,16.59565,16.50845,109,301,4,158,1721647516644042752,STAR,4.655017E-05,1529,52930,533
1237645942906028116,58.3957362489417,0.209765892354499,16.99691,15.35589,14.49014,14.39775,13.79355,109,301,4,158,1398541730684364800,STAR,0.0006135278,1242,52901,633
1237645943433396364,36.6536741098755,0.631102538100113,19.45892,18.1172,17.62324,17.44491,17.3305,109,301,5,13,8256477291602440192,STAR,9.090709E-05,7333,56686,921
1237645943433855052,37.6901262926292,0.630372388945793,19.25163,18.32084,17.97896,17.85262,17.78459,109,301,5,20,3520844395832254464,STAR,0.000104992,3127,54835,565
1237645943434969150,40.2797407544945,0.563509190480669,18.41223,17.24312,17.35328,17.4452,17.54572,109,301,5,37,8253105089406496768,STAR,0.0004345136,7330,56684,941
1237645943435034677,40.3565196430332,0.586707867277147,19.16163,18.22788,17.97637,17.89271,17.85511,109,301,5,38,7636012982531190784,STAR,0.0007683872,6782,56572,581
1237645943435034711,40.3659115716786,0.482156796606173,18.40849,16.79699,16.25049,16.06642,15.99114,109,301,5,38,8253119108179750912,STAR,-1.873275E-05,7330,56684,992
1237645943973609500,44.2231786933884,1.05138254706164,17.91809,16.99443,16.60633,16.45938,16.39112,109,301,6,64,1758813210732947456,STAR,-0.0005388486,1562,53052,573
1237645943973609599,44.2554042347813,1.05497615501816,19.48848,17.89531,17.25082,17.00606,16.88047,109,301,6,64,3584966264948367360,STAR,0.0002448887,3184,54850,367
1237645943973675061,44.3905029815331,0.903306120862146,17.70665,16.19536,15.58417,15.35889,15.22968,109,301,6,65,3584966814704181248,STAR,-9.822403E-05,3184,54850,369
1237645943973675064,44.3930863885659,0.957840267593429,18.58539,17.48169,17.0797,16.94243,16.85802,109,301,6,65,1702516577699653632,STAR,0.0002223217,1512,53742,567
