objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,218.5243755,0.620087707,15.99355,14.13232,13.24718,12.84961,12.5708,752,301,5,501,3.44689E+17,GALAXY,0.03040131,306,51637,595
1.23765E+18,217.7229647,0.462844924,17.19611,16.37054,16.35853,16.61939,16.59726,752,301,5,495,3.43566E+17,GALAXY,0.01341123,305,51613,604
1.23765E+18,217.3859609,0.493807792,19.59743,17.78512,16.79967,16.29134,15.87423,752,301,5,493,3.43543E+17,GALAXY,0.0555293,305,51613,523
1.23765E+18,217.157673,0.553150231,16.46681,15.2365,14.68592,14.41944,14.22242,752,301,5,492,3.43534E+17,GALAXY,0.005144823,305,51613,489
1.23765E+18,216.9740128,0.569608193,18.60729,16.66457,15.7427,15.34436,15.06267,752,301,5,490,3.4462E+17,GALAXY,0.08527369,306,51637,343
1.23765E+18,216.4861618,0.612934786,17.82338,15.93299,15.01166,14.54795,14.20654,752,301,5,487,3.43523E+17,GALAXY,0.05541833,305,51613,448
1.23765E+18,216.4016273,0.590408216,19.2868,17.25903,16.3049,15.84703,15.54883,752,301,5,487,3.43521E+17,GALAXY,0.08448324,305,51613,442
1.23765E+18,214.7043344,0.474987837,18.89582,17.77562,17.18491,16.86418,16.74445,752,301,5,475,3.41309E+17,GALAXY,0.05265518,303,51615,585
1.23765E+18,214.7027621,0.496449842,18.51229,17.24762,16.67498,16.34156,16.1801,752,301,5,475,3.42387E+17,GALAXY,0.05325393,304,51609,412
1.23765E+18,214.6944725,0.560687754,18.93244,17.93663,17.48177,17.18683,17.17115,752,301,5,475,3.41309E+17,GALAXY,0.05299084,303,51615,587
1.23765E+18,214.5367071,0.486773912,19.24382,17.94226,17.05291,16.65175,16.36418,752,301,5,474,3.41308E+17,GALAXY,0.0539526,303,51615,583
1.23765E+18,214.4757379,0.461416855,19.41482,17.61642,16.45748,15.98805,15.61201,752,301,5,474,3.41299E+17,GALAXY,0.05455462,303,51615,549
1.23765E+18,214.4577525,0.510935341,17.41226,15.51644,14.55842,14.14176,13.83721,752,301,5,474,3.42386E+17,GALAXY,0.05209216,304,51609,408
1.23765E+18,214.4250461,0.533110006,19.14829,18.19115,17.54155,17.2188,17.01777,752,301,5,473,3.42385E+17,GALAXY,0.1182185,304,51609,406
1.23765E+18,212.8185169,0.489436572,17.37057,16.1632,15.65695,15.32593,15.13758,752,301,5,463,3.40172E+17,GALAXY,0.05307161,302,51688,546
1.23765E+18,212.2505767,0.541091117,19.35522,17.80171,16.85849,16.39828,16.06116,752,301,5,459,3.4016E+17,GALAXY,0.1367086,302,51688,502
1.23765E+18,212.2496209,0.446862524,18.45285,17.50797,17.15173,16.94083,16.81391,752,301,5,459,3.40161E+17,GALAXY,0.02520476,302,51688,507
1.23765E+18,216.0464191,0.619839636,19.07828,17.74623,17.0905,16.73833,16.5206,752,301,5,484,3.435E+17,GALAXY,0.1030362,305,51613,364
1.23765E+18,212.7936909,0.578795391,17.30335,15.32984,14.47276,14.0408,13.72296,752,301,5,462,3.41242E+17,GALAXY,0.05291578,303,51615,343
1.23765E+18,212.7591512,0.608496215,18.46741,16.73443,15.93422,15.54408,15.25111,752,301,5,462,3.40171E+17,GALAXY,0.02658229,302,51688,544
1.23765E+18,220.1224112,0.584089422,16.9262,15.55966,14.91396,14.57899,14.33628,752,301,5,511,3.458E+17,GALAXY,0.03717615,307,51663,541
1.23765E+18,219.9387246,0.531203451,18.91197,17.6668,16.9532,16.57335,16.30064,752,301,5,510,3.45791E+17,GALAXY,0.116515,307,51663,508
1.23765E+18,219.7797727,0.508632542,17.27428,16.14542,15.71525,15.48468,15.36626,752,301,5,509,3.45785E+17,GALAXY,0.03325611,307,51663,487
1.23765E+18,219.1376572,0.432899022,19.20791,16.58841,15.70464,15.25575,14.9159,752,301,5,505,3.45768E+17,GALAXY,0.07221484,307,51663,425
1.23765E+18,218.546907,0.615752687,18.10151,16.28956,15.44047,15.02534,14.70774,752,301,5,501,3.44688E+17,GALAXY,0.02992242,306,51637,592
1.23765E+18,218.359966,0.506998273,18.65993,17.66456,17.14658,16.69723,16.54123,752,301,5,500,3.44678E+17,GALAXY,0.07819632,306,51637,554
1.23765E+18,217.9758332,0.515722049,19.31774,17.40262,16.34831,15.9304,15.59723,752,301,5,497,3.44659E+17,GALAXY,0.1308362,306,51637,485
1.23765E+18,217.5586267,0.509809964,19.50041,18.25993,17.56142,17.18781,16.88188,752,301,5,494,3.43558E+17,GALAXY,0.09618618,305,51613,575
1.23765E+18,217.5402104,0.581073767,18.86574,17.42175,16.54506,16.14193,15.83438,752,301,5,494,3.43554E+17,GALAXY,0.1359299,305,51613,561
1.23765E+18,217.535526,0.557287358,19.19027,18.01404,17.28769,16.87165,16.6224,752,301,5,494,3.43555E+17,GALAXY,0.1300456,305,51613,566
1.23765E+18,217.4914522,0.501324077,19.37175,17.53048,16.64253,16.24985,15.97495,752,301,5,494,3.43557E+17,GALAXY,0.08636595,305,51613,574
1.23765E+18,217.485879,0.578846614,19.52177,18.18804,17.27978,16.82363,16.54954,752,301,5,494,3.44644E+17,GALAXY,0.1478068,306,51637,430
1.23765E+18,217.5624314,0.621378332,18.32568,16.70286,15.96879,15.59763,15.37228,752,301,5,494,3.43558E+17,GALAXY,0.0262329,305,51613,578
1.23765E+18,217.3175389,0.565391527,18.46138,17.51253,17.28519,17.03994,16.97102,752,301,5,493,3.44635E+17,GALAXY,0.05377915,306,51637,397
1.23765E+18,217.206164,0.625450038,18.59118,17.53558,17.11458,16.83498,16.65819,752,301,5,492,3.44632E+17,GALAXY,0.05125462,306,51637,386
1.23765E+18,217.0052972,0.596629445,19.2275,17.95968,17.2659,16.84488,16.58588,752,301,5,491,3.43537E+17,GALAXY,0.1255599,305,51613,500
1.23765E+18,216.9893388,0.588942738,18.78993,17.3052,16.6864,16.3278,16.11595,752,301,5,490,3.43527E+17,GALAXY,0.08430807,305,51613,464
1.23765E+18,216.394907,0.623853848,19.48655,17.74358,16.73754,16.31211,15.9895,752,301,5,486,3.43514E+17,GALAXY,0.1261699,305,51613,418
1.23765E+18,216.3765059,0.496205904,19.31037,18.24353,17.72117,17.38217,17.21963,752,301,5,486,3.43512E+17,GALAXY,0.1083593,305,51613,410
1.23765E+18,216.2986988,0.461416244,19.03266,17.99529,17.71881,17.47571,17.41873,752,301,5,486,3.43515E+17,GALAXY,0.05201893,305,51613,419
1.23765E+18,216.1419411,0.505227497,19.08078,18.11555,17.70715,17.48774,17.31987,752,301,5,485,3.43499E+17,GALAXY,0.03168992,305,51613,361
1.23765E+18,215.9471808,0.45052699,19.41986,18.26751,17.51969,17.11023,16.83999,752,301,5,483,3.43491E+17,GALAXY,0.1580751,305,51613,333
1.23765E+18,215.7108987,0.534501223,19.33547,18.21032,17.72966,17.33318,17.20453,752,301,5,482,3.42418E+17,GALAXY,0.1537792,304,51609,526
1.23765E+18,215.6916334,0.503772714,19.28716,17.40241,16.33686,15.69524,15.33007,752,301,5,482,3.42419E+17,GALAXY,0.1671632,304,51609,529
1.23765E+18,215.2666921,0.451178116,18.87314,17.93086,17.53984,17.26224,17.18293,752,301,5,479,3.42403E+17,GALAXY,0.1515603,304,51609,469
1.23765E+18,215.2428133,0.497569837,19.45225,18.0575,17.1601,16.67347,16.36616,752,301,5,479,3.42401E+17,GALAXY,0.15192,304,51609,463
1.23765E+18,215.0424176,0.478767829,19.35517,17.98535,17.24359,16.8674,16.63232,752,301,5,477,3.42399E+17,GALAXY,0.1375907,304,51609,456
1.23765E+18,214.749891,0.563518377,18.05415,17.08406,16.70564,16.44062,16.41215,752,301,5,475,3.41321E+17,GALAXY,0.05346759,303,51615,632
1.23765E+18,214.5739062,0.592290799,19.46359,18.48643,17.65919,17.25519,17.04009,752,301,5,474,3.41316E+17,GALAXY,0.1218743,303,51615,614
1.23765E+18,214.5090586,0.484231211,19.2075,17.56944,16.39123,15.97086,15.64766,752,301,5,474,3.41299E+17,GALAXY,0.05278205,303,51615,552
1.23765E+18,202.4825189,0.118874633,18.05657,16.41302,15.59503,15.19728,14.87214,752,301,4,394,3.35627E+17,GALAXY,0.08337675,298,51955,396
1.23765E+18,198.1894992,0.189733725,19.28312,17.36975,16.44178,16.02733,15.71826,752,301,4,365,3.32259E+17,GALAXY,0.08414438,295,51985,431
1.23765E+18,197.8293693,0.037396872,19.09867,17.81825,17.37072,17.00765,16.85605,752,301,4,362,3.31188E+17,GALAXY,0.06395097,294,51986,632
1.23765E+18,197.755118,0.0530316,18.83638,17.39555,16.49948,16.0048,15.72138,752,301,4,362,3.32239E+17,GALAXY,0.09618144,295,51985,358
1.23765E+18,197.727346,0.063963841,19.11804,17.1312,16.1535,15.72389,15.35944,752,301,4,362,3.32236E+17,GALAXY,0.09676105,295,51985,349
1.23765E+18,197.7282067,0.179692253,18.70977,16.62203,15.64068,15.19747,14.84239,752,301,4,362,3.32235E+17,GALAXY,0.09594817,295,51985,344
1.23765E+18,197.7229556,0.100795252,19.11018,17.95348,17.59488,17.34108,17.26692,752,301,4,362,3.31179E+17,GALAXY,0.04104793,294,51986,599
1.23765E+18,197.7230557,0.12733382,19.13596,17.80883,17.23292,16.8768,16.662,752,301,4,362,3.31179E+17,GALAXY,0.08269752,294,51986,598
1.23765E+18,197.4219182,0.010353696,18.95616,17.45461,16.70407,16.32387,16.09211,752,301,4,360,3.31168E+17,GALAXY,0.09509806,294,51986,558
