objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,243.3470265,0.424137063,19.25923,18.84224,18.85939,18.69218,18.76842,727,301,5,66,3.88598E+17,QSO,0.5894275,345,51690,590
1.23765E+18,243.8473685,-0.898343247,19.41207,18.88776,18.56437,18.58996,18.3926,745,301,1,568,3.89632E+17,QSO,1.06284,346,51693,256
1.23765E+18,244.9490533,-0.894234904,19.15965,18.91703,18.61517,18.38544,18.42006,745,301,1,576,3.89586E+17,QSO,1.496161,346,51693,90
1.23765E+18,238.9877701,-0.602334742,18.14292,17.74537,17.58131,17.57654,17.47079,745,301,2,536,3.86235E+17,QSO,0.7628108,343,51692,187
1.23765E+18,239.54234,-0.522224201,19.2607,17.75067,17.52371,17.3766,17.15547,745,301,2,540,3.86224E+17,QSO,2.832395,343,51692,145
1.23765E+18,243.8843939,-0.458423132,17.01633,16.8166,16.47103,16.01772,15.98409,745,301,2,569,3.89623E+17,QSO,0.1464716,346,51693,223
1.23765E+18,245.1284933,-0.499415435,19.18215,18.79711,18.8115,18.61492,18.51464,745,301,2,577,4.09912E+17,QSO,0.5382954,364,52000,307
1.23765E+18,247.0211391,-0.448676629,19.23512,19.08207,18.78046,18.81124,18.99055,745,301,2,590,4.09848E+17,QSO,1.149604,364,52000,74
1.23765E+18,244.1814839,-0.040762322,19.35233,18.86894,18.60658,18.57084,18.33137,745,301,3,571,3.89613E+17,QSO,0.7860857,346,51693,188
1.23765E+18,195.7146127,0.332823156,19.49343,19.0698,18.38652,18.1938,17.66139,745,301,4,247,3.30062E+17,QSO,0.3304223,293,51689,632
1.23765E+18,196.2779619,0.3190456,19.08596,19.07237,19.08728,18.89943,18.84052,745,301,4,251,4.56126E+18,QSO,1.914007,4051,55337,872
1.23765E+18,196.9801176,0.290259806,19.08033,18.91749,18.96549,18.84242,18.85851,745,301,4,255,3.31147E+17,QSO,1.650882,294,51986,483
1.23765E+18,197.1076146,0.396627004,19.02723,18.71725,18.78498,18.68171,18.70596,745,301,4,256,3.31155E+17,QSO,0.6261772,294,51986,510
1.23765E+18,239.163319,0.334642532,19.47983,19.20625,19.00287,18.6429,18.50292,745,301,4,537,3.86324E+17,QSO,1.831576,343,51692,509
1.23765E+18,245.0903368,0.347051113,18.60858,18.3943,17.97889,17.67771,17.41788,745,301,4,577,4.09925E+17,QSO,0.2472486,364,52000,355
1.23765E+18,247.7545338,0.340447287,19.43826,19.33031,19.05002,18.95199,18.96106,745,301,4,595,4.10002E+17,QSO,1.371252,364,52000,633
1.23765E+18,249.0999074,0.384085168,18.51327,18.31832,17.89411,17.80831,17.86479,745,301,4,604,3.91962E+17,QSO,1.171173,348,51671,543
1.23765E+18,165.6796445,0.789062616,19.45152,19.29247,19.23836,19.05532,19.01985,745,301,5,46,3.12018E+17,QSO,1.687793,277,51908,522
1.23765E+18,238.6611669,0.812849722,19.54329,19.11089,18.98744,18.87481,18.71331,745,301,5,534,3.86296E+17,QSO,0.7363476,343,51692,409
1.23765E+18,239.8356082,0.765641515,19.29026,18.9874,18.80369,18.58464,18.58839,745,301,5,542,3.86352E+17,QSO,1.525591,343,51692,613
1.23765E+18,242.2009038,0.696788188,19.58038,19.2819,19.27253,18.96887,18.61905,745,301,5,557,3.88538E+17,QSO,0.4253347,345,51690,372
1.23765E+18,242.3295581,0.70887489,19.2129,18.9049,18.52192,18.45047,18.43945,745,301,5,558,3.88549E+17,QSO,1.120872,345,51690,412
1.23765E+18,242.6852719,0.780703554,18.27065,18.08745,18.08966,18.2218,18.37045,745,301,5,561,3.88582E+17,QSO,0.3965296,345,51690,532
1.23765E+18,244.9816659,0.798870436,18.97039,18.81752,18.68532,18.60291,18.3335,745,301,5,576,3.8972E+17,QSO,2.084146,346,51693,577
1.23765E+18,240.1196725,1.174081769,17.99823,17.6965,17.54185,17.39625,17.22874,745,301,6,544,3.87402E+17,QSO,0.4285848,344,51693,336
1.23765E+18,242.5625403,1.190245117,18.42238,18.22688,18.16234,18.02632,17.98409,745,301,6,560,3.88559E+17,QSO,1.92721,345,51690,449
1.23765E+18,245.7157934,1.245388073,19.22342,19.01674,18.70262,18.65875,18.62971,745,301,6,581,4.09918E+17,QSO,1.227615,364,52000,328
