objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,218.7291721,0.458112049,16.97457,15.7859,15.32505,15.16091,15.08877,752,301,5,502,3.45759E+17,STAR,-5.70E-06,307,51663,391
1.23765E+18,219.083277,0.576226173,18.70255,17.71797,17.34371,17.17482,17.1185,752,301,5,504,3.44697E+17,STAR,2.47E-05,306,51637,625
1.23765E+18,219.5617663,0.547663882,19.06822,17.80601,17.33803,17.16516,17.09147,752,301,5,508,3.45778E+17,STAR,-2.66E-05,307,51663,461
1.23765E+18,219.582247,0.595887057,17.89559,16.71264,16.2921,16.1399,16.07841,752,301,5,508,3.45778E+17,STAR,7.05E-05,307,51663,462
1.23765E+18,219.5886352,0.510878933,19.14528,18.19967,17.89295,17.78337,17.73488,752,301,5,508,4.532E+18,STAR,-0.000276482,4025,55350,920
1.23765E+18,219.6611664,0.569298323,19.47595,18.6116,18.52926,18.76056,18.28581,752,301,5,508,3.4578E+17,STAR,-0.000385041,307,51663,468
1.23765E+18,220.1776293,0.606597158,18.73475,17.79811,17.46425,17.34566,17.29465,752,301,5,512,4.52852E+18,STAR,0.000255278,4022,55352,554
1.23765E+18,220.5992691,0.61894204,18.37159,16.28451,15.44592,15.16673,15.01227,752,301,5,515,3.46868E+17,STAR,-7.05E-05,308,51662,330
1.23765E+18,220.6831889,0.598384718,19.28787,17.52747,16.75908,16.41961,16.23461,752,301,5,515,3.30349E+18,STAR,-4.11E-06,2934,54626,351
1.23765E+18,220.6841228,0.454116001,18.44022,18.02603,17.97474,18.0135,18.12117,752,301,5,515,3.30348E+18,STAR,-5.16E-05,2934,54626,342
1.23765E+18,220.7117312,0.461338753,19.26163,17.71671,17.12826,16.89513,16.79474,752,301,5,515,3.27534E+18,STAR,-0.000233312,2909,54653,343
1.23765E+18,220.7243306,0.502230386,18.72794,17.20167,16.65129,16.43697,16.32,752,301,5,515,3.27534E+18,STAR,-0.000133688,2909,54653,342
1.23765E+18,220.7765893,0.561814348,19.24336,17.86197,17.30386,17.06635,16.94732,752,301,5,516,3.30349E+18,STAR,-0.000180286,2934,54626,353
