objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,148.9448489,1.125628068,19.07678,17.66514,17.14488,16.8497,16.7324,756,301,6,221,3.01845E+17,GALAXY,0.04636251,268,51633,379
1.23765E+18,149.0991076,1.149997747,19.46439,18.28526,17.80864,17.55646,17.35722,756,301,6,222,3.01843E+17,GALAXY,0.1098269,268,51633,372
1.23765E+18,149.2951705,1.140159762,18.44785,17.54177,17.18911,16.87687,16.75641,756,301,6,223,3.01853E+17,GALAXY,0.06655637,268,51633,405
1.23765E+18,149.1613889,1.092882123,18.2674,17.14597,16.87172,16.64103,16.55622,756,301,6,223,3.01842E+17,GALAXY,0.06251667,268,51633,368
1.23765E+18,149.19394,1.070187699,18.20894,16.44297,15.64058,15.26381,14.97204,756,301,6,223,3.01853E+17,GALAXY,0.06268962,268,51633,408
1.23765E+18,149.205826,1.120501085,18.66943,16.8495,16.00342,15.59754,15.29298,756,301,6,223,3.01853E+17,GALAXY,0.04704995,268,51633,406
1.23765E+18,149.2805327,1.180191964,19.15973,17.5623,16.798,16.34253,15.99921,756,301,6,223,5.4156E+17,GALAXY,0.08035871,481,51908,8
1.23765E+18,149.2783934,1.165870223,19.36334,18.06556,17.58404,17.2535,17.09801,756,301,6,223,5.63008E+17,GALAXY,0.06325846,500,51994,212
1.23765E+18,149.5244988,1.109365723,18.98376,17.77633,17.29383,16.96459,16.82775,756,301,6,225,3.01867E+17,GALAXY,0.08112247,268,51633,458
1.23765E+18,149.5878489,1.093115739,19.52968,17.55491,16.49394,16.0624,15.70407,756,301,6,225,3.01865E+17,GALAXY,0.1252315,268,51633,452
1.23765E+18,149.6055424,1.10396975,18.4086,17.04395,16.38441,15.9801,15.72501,756,301,6,226,3.01862E+17,GALAXY,0.08074103,268,51633,441
1.23765E+18,149.6251244,1.181984116,18.35994,16.75965,16.0056,15.60248,15.29887,756,301,6,226,3.01864E+17,GALAXY,0.06204112,268,51633,448
1.23765E+18,149.6593367,1.057980679,17.39253,15.45252,14.55437,14.09429,13.73602,756,301,6,226,5.62987E+17,GALAXY,0.04639898,500,51994,136
1.23765E+18,149.7042696,1.081261516,18.51302,16.39031,15.41031,14.98303,14.62139,756,301,6,226,5.64155E+17,GALAXY,0.07933678,501,52235,286
