objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,80.26780376,2.614175857,17.04017,15.80248,15.32685,15.0535,14.95565,994,301,1,21,8.1753E+18,QSO,5.393847,7261,56603,518
1.23765E+18,80.29817733,2.620260263,16.62952,15.45682,15.01154,14.84313,14.76907,994,301,1,21,8.1753E+18,QSO,1.072526,7261,56603,520
1.23765E+18,80.54269092,2.681284402,19.23289,18.17901,17.46866,17.04593,16.88102,994,301,1,23,8.17533E+18,QSO,6.992002,7261,56603,617
1.23765E+18,80.65996699,2.508809016,19.18112,18.11869,17.6913,17.38353,17.3173,994,301,1,24,8.17534E+18,QSO,5.648393,7261,56603,667
1.23765E+18,80.68486893,2.574917187,17.6298,16.48808,16.05757,15.89278,15.85864,994,301,1,24,8.17534E+18,QSO,5.70093,7261,56603,666
1.23765E+18,80.68917155,2.702105626,19.52219,19.25701,19.04673,18.87432,18.77962,994,301,1,24,8.17534E+18,QSO,5.944532,7261,56603,657
1.23765E+18,81.02593105,2.453131931,16.56457,15.51298,15.07091,14.95203,14.90816,994,301,1,26,8.17536E+18,QSO,5.654183,7261,56603,722
1.23765E+18,81.31051663,2.5332259,17.67208,16.5649,16.13322,15.98765,16.01514,994,301,1,28,8.17537E+18,QSO,5.680042,7261,56603,783
1.23765E+18,81.61395518,2.378722955,19.49532,19.35676,19.09506,19.12395,19.26385,994,301,1,30,8.1754E+18,QSO,1.222692,7261,56603,864
1.23765E+18,81.77726096,2.240684656,18.97366,17.81207,17.14933,16.75152,16.5267,994,301,1,31,8.1754E+18,QSO,5.721716,7261,56603,886
1.23765E+18,82.49111126,2.048766869,19.00733,18.50309,18.48242,18.2702,18.21365,994,301,1,36,8.17543E+18,QSO,0.4495783,7261,56603,996
1.23765E+18,80.36858447,3.091687166,16.38611,15.23017,14.79348,14.63525,14.60315,994,301,2,21,8.1753E+18,QSO,1.072526,7261,56603,512
1.23765E+18,80.4102478,3.061149275,18.6283,17.237,16.62782,16.40227,16.24328,994,301,2,21,8.17531E+18,QSO,5.653981,7261,56603,564
1.23765E+18,80.43392246,3.069571453,18.44473,17.08944,16.59711,16.39865,16.29204,994,301,2,21,8.17532E+18,QSO,5.656774,7261,56603,568
1.23765E+18,80.48128306,3.050321435,18.39462,17.10637,16.56854,16.39526,16.29528,994,301,2,22,8.17531E+18,QSO,5.656022,7261,56603,561
1.23765E+18,80.52922931,3.147786187,18.60701,17.1221,16.47735,16.2485,16.14234,994,301,2,22,8.17531E+18,QSO,5.550322,7261,56603,565
1.23765E+18,80.64374233,2.956899177,18.03844,16.86672,16.4105,16.23604,16.17649,994,301,2,23,8.17533E+18,QSO,5.652918,7261,56603,614
1.23765E+18,80.71153946,3.071328628,18.06482,16.27519,15.49709,15.19736,15.03143,994,301,2,23,8.17532E+18,QSO,5.677905,7261,56603,602
1.23765E+18,80.71648991,3.04079574,17.72753,16.68828,16.28863,16.1044,16.00775,994,301,2,23,8.17533E+18,QSO,5.654098,7261,56603,608
1.23765E+18,80.84547179,3.051962278,19.51111,17.50066,16.43063,15.93514,15.53812,994,301,2,24,8.17535E+18,QSO,5.99282,7261,56603,691
1.23765E+18,80.98940444,2.868923894,17.88803,16.74106,16.30053,16.13301,16.0758,994,301,2,25,8.17535E+18,QSO,5.681903,7261,56603,692
1.23765E+18,81.21220012,2.940213714,15.95822,14.84248,14.38552,14.23808,14.21216,994,301,2,27,8.17537E+18,QSO,5.679827,7261,56603,750
1.23765E+18,81.24272955,2.897545331,16.40391,15.48868,14.90596,14.74578,14.69038,994,301,2,27,8.17536E+18,QSO,5.693105,7261,56603,745
1.23765E+18,81.34233388,2.774874684,18.03512,16.94998,16.4516,16.30311,16.20352,994,301,2,28,8.17537E+18,QSO,5.681379,7261,56603,774
1.23765E+18,81.41044993,2.906573773,17.02859,15.77746,15.25787,15.08294,15.03955,994,301,2,28,8.17537E+18,QSO,5.68593,7261,56603,775
1.23765E+18,81.44264406,2.903336786,18.09111,16.9218,16.45965,16.29195,16.30748,994,301,2,28,8.17538E+18,QSO,5.689092,7261,56603,805
1.23765E+18,81.42166566,2.818311402,18.32286,18.00266,17.30463,16.41063,15.70242,994,301,2,28,8.17537E+18,QSO,5.629269,7261,56603,771
1.23765E+18,81.49195241,2.930703058,18.14105,16.69172,16.08945,15.84,15.78198,994,301,2,28,8.17538E+18,QSO,5.658862,7261,56603,801
1.23765E+18,81.52731016,2.896467991,18.69217,17.22387,16.65762,16.4568,16.36843,994,301,2,29,8.17538E+18,QSO,5.688885,7261,56603,815
1.23765E+18,81.59636971,2.783424185,17.20622,15.98609,15.49038,15.28665,15.28451,994,301,2,29,8.17539E+18,QSO,5.677844,7261,56603,851
1.23765E+18,81.5675014,2.758868051,18.84384,17.6272,17.08049,16.86059,16.87591,994,301,2,29,8.17539E+18,QSO,5.667949,7261,56603,843
1.23765E+18,82.1684537,2.670441077,17.36055,16.18343,15.69577,15.54784,15.45606,994,301,2,33,8.17542E+18,QSO,5.661051,7261,56603,946
1.23765E+18,82.18836976,2.600186509,16.92227,15.75202,15.25508,15.09463,15.03736,994,301,2,33,8.17542E+18,QSO,5.650656,7261,56603,954
1.23765E+18,82.16896453,2.607305374,18.47137,17.25345,16.62729,16.26717,16.02111,994,301,2,33,8.17542E+18,QSO,5.650351,7261,56603,955
1.23765E+18,81.12725078,3.329435343,16.83909,15.66959,15.18565,15.04058,14.99576,994,301,3,25,8.17536E+18,QSO,5.692148,7261,56603,744
1.23765E+18,81.22947426,3.335605609,19.17112,17.96852,17.43026,17.09505,16.86028,994,301,3,26,8.17537E+18,QSO,5.772532,7261,56603,767
1.23765E+18,81.53607477,3.22575553,17.89064,16.77395,16.02605,15.61727,15.3674,994,301,3,28,8.17538E+18,QSO,5.664281,7261,56603,809
1.23765E+18,81.5073372,3.159138589,19.482,18.23309,17.35756,16.85073,16.58014,994,301,3,28,8.17538E+18,QSO,5.705008,7261,56603,806
1.23765E+18,22.87661088,-3.37502881,19.51412,18.89284,18.81685,18.7734,18.66218,1010,301,1,70,4.8989E+18,QSO,2.412848,4351,55538,394
1.23765E+18,23.00248806,-3.401307748,18.9825,18.69038,18.52618,18.35786,18.48396,1010,301,1,71,8.83387E+18,QSO,1.500635,7846,56984,226
1.23765E+18,23.07113504,-3.351858326,19.31199,19.03987,18.87339,18.83101,18.61943,1010,301,1,71,8.88799E+18,QSO,3.194225,7894,57339,511
1.23765E+18,23.09348673,-3.276704751,18.99921,18.8201,18.70021,18.60279,18.18154,1010,301,1,71,8.83386E+18,QSO,0.2620479,7846,56984,188
1.23765E+18,9.983140984,13.86656576,19.57687,18.8881,18.72773,18.63966,18.35881,1035,301,1,30,6.983E+18,QSO,2.321735,6202,56266,596
1.23765E+18,10.6720908,13.7114335,19.19535,18.98641,18.90021,18.67124,18.70706,1035,301,1,34,4.71821E+17,QSO,1.785023,419,51879,250
1.23765E+18,12.41389892,13.68527228,19.19339,17.6608,16.70194,16.18333,15.8469,1035,301,1,46,4.72956E+17,QSO,0.1331681,420,51871,284
