objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,174.444884,0.209247666,18.58241,16.66479,15.85306,15.55146,15.37723,756,301,4,392,3.22248E+18,STAR,0.000165092,2862,54471,550
1.23765E+18,174.5105096,0.238286611,19.42175,17.7857,17.13268,16.86325,16.71132,756,301,4,392,3.23937E+18,STAR,-8.61E-05,2877,54523,552
1.23765E+18,174.6233961,0.249320578,18.02642,16.69208,16.17585,16.00236,15.92,756,301,4,393,3.22247E+18,STAR,-0.000132982,2862,54471,543
1.23765E+18,174.7587922,0.254703398,17.5134,16.12699,15.56818,15.33516,15.24283,756,301,4,394,3.22248E+18,STAR,6.59E-05,2862,54471,544
1.23765E+18,174.7708725,0.273156324,19.45945,18.13577,17.62391,17.40394,17.32358,756,301,4,394,3.22249E+18,STAR,0.001553371,2862,54471,598
1.23765E+18,174.9473963,0.386254862,18.31278,16.82475,16.28576,16.05964,15.97858,756,301,4,395,3.22249E+18,STAR,-3.68E-05,2862,54471,594
1.23765E+18,174.9695477,0.226398235,18.6422,16.98408,16.32512,16.06902,15.96502,756,301,4,395,3.23938E+18,STAR,1.14E-05,2877,54523,597
1.23765E+18,174.9929555,0.301182681,19.32773,17.74083,17.06165,16.78736,16.64304,756,301,4,395,3.23938E+18,STAR,9.08E-06,2877,54523,598
1.23765E+18,175.0949833,0.269490814,18.52241,17.43895,16.97951,16.77513,16.71924,756,301,4,396,3.22249E+18,STAR,0.000210043,2862,54471,590
1.23765E+18,175.1222562,0.347671025,17.56695,16.06215,15.51357,15.32546,15.26559,756,301,4,396,3.22249E+18,STAR,6.77E-06,2862,54471,586
1.23765E+18,175.836307,0.222222635,11.96091,12.37476,12.29743,13.59399,12.56588,756,301,4,401,3.18759E+17,STAR,0.000212934,283,51959,470
1.23765E+18,176.3125423,0.266474849,18.13131,17.21491,16.91564,16.78748,16.74662,756,301,4,404,4.32485E+18,STAR,0.000160326,3841,56016,974
1.23765E+18,178.1541324,0.361635811,17.80278,17.27164,17.33793,17.2984,17.13216,756,301,4,416,3.19885E+17,STAR,-7.94E-05,284,51943,469
1.23765E+18,178.3630073,0.408934284,19.01457,17.69706,17.20854,16.98055,16.91547,756,301,4,418,3.19892E+17,STAR,-0.000254212,284,51943,497
1.23765E+18,179.6036313,0.248377628,18.6967,17.82382,17.58507,17.47672,17.49202,756,301,4,426,3.2562E+18,STAR,0.000311386,2892,54552,355
1.23765E+18,179.671228,0.333180759,18.06857,17.16529,16.91474,16.8375,16.87477,756,301,4,426,3.2562E+18,STAR,-0.000186856,2892,54552,341
1.23765E+18,179.7271768,0.257016441,18.03696,15.80426,14.93172,14.62411,14.46752,756,301,4,427,3.2562E+18,STAR,-0.000102748,2892,54552,351
1.23765E+18,179.7241622,0.258707288,18.94099,17.00374,16.25402,15.96835,15.82988,756,301,4,427,3.28435E+18,STAR,7.43E-05,2917,54556,353
1.23765E+18,179.7537718,0.219741579,18.66624,17.58168,17.117,16.91312,16.82046,756,301,4,427,3.2562E+18,STAR,0.00052325,2892,54552,347
1.23765E+18,179.8436949,0.307570259,16.87369,15.45059,14.9217,14.73549,14.67005,756,301,4,428,3.2562E+18,STAR,-5.23E-05,2892,54552,354
1.23765E+18,179.8737907,0.277024511,17.55376,16.0786,15.53976,15.36552,15.29869,756,301,4,428,3.2562E+18,STAR,4.04E-05,2892,54552,359
1.23765E+18,179.9164797,0.279031637,18.71257,17.41989,16.88498,16.66914,16.58119,756,301,4,428,3.2562E+18,STAR,0.000237572,2892,54552,345
1.23765E+18,179.9336751,0.35645309,19.05514,17.7119,17.20091,17.02264,16.93608,756,301,4,428,3.2562E+18,STAR,0.00010385,2892,54552,342
1.23765E+18,180.0333995,0.22310126,19.13144,16.92388,16.08326,15.83897,15.70159,756,301,4,429,3.28436E+18,STAR,2.02E-05,2917,54556,382
1.23765E+18,180.1112776,0.262126941,19.57273,18.66989,18.33059,18.18938,18.1417,756,301,4,429,4.32811E+18,STAR,0.001267592,3844,55321,536
1.23765E+18,180.1273686,0.345067203,19.16888,17.99577,17.55012,17.36811,17.30434,756,301,4,429,3.25621E+18,STAR,0.000259894,2892,54552,384
1.23765E+18,180.2527052,0.412447638,19.51689,18.16157,17.60814,17.3745,17.28204,756,301,4,430,3.28437E+18,STAR,0.000876584,2917,54556,430
1.23765E+18,180.3201302,0.247732196,17.92003,16.51991,15.97146,15.75521,15.66216,756,301,4,431,3.25622E+18,STAR,-0.00015211,2892,54552,440
1.23765E+18,180.3437893,0.236245712,19.40042,17.05968,16.02628,15.6077,15.37035,756,301,4,431,3.28438E+18,STAR,1.27E-05,2917,54556,475
1.23765E+18,180.3796114,0.360148132,18.86098,17.91907,17.60557,17.51612,17.52371,756,301,4,431,3.25622E+18,STAR,0.000671708,2892,54552,421
1.23765E+18,180.3905275,0.229122647,19.23127,18.37109,17.99629,17.8694,17.83684,756,301,4,431,3.28438E+18,STAR,0.000643514,2917,54556,471
1.23765E+18,180.4243602,0.213533468,18.62028,17.76987,17.47498,17.37899,17.34036,756,301,4,431,3.21045E+17,STAR,0.000217964,285,51930,593
1.23765E+18,180.368427,0.288024302,19.57188,17.67806,16.91241,16.63249,16.49098,756,301,4,431,3.28438E+18,STAR,6.01E-05,2917,54556,477
1.23765E+18,180.5055638,0.223207983,17.15534,16.14363,16.02197,15.92973,15.92768,756,301,4,432,3.25622E+18,STAR,0.000197312,2892,54552,435
1.23765E+18,180.5535396,0.326904589,18.13333,16.65478,16.11103,15.92499,15.84729,756,301,4,432,3.25622E+18,STAR,0.000226419,2892,54552,429
1.23765E+18,180.5151765,0.23015925,19.59274,17.72073,16.90126,16.55585,16.37941,756,301,4,432,3.28438E+18,STAR,-6.16E-05,2917,54556,470
1.23765E+18,180.6183347,0.377733972,17.84553,16.53667,16.0568,15.87966,15.82242,756,301,4,433,3.25622E+18,STAR,-1.31E-05,2892,54552,427
1.23765E+18,180.6251951,0.35425361,19.24641,16.87282,15.9015,15.5732,15.41447,756,301,4,433,3.28438E+18,STAR,-6.78E-05,2917,54556,478
1.23765E+18,180.6572227,0.285434875,18.484,16.91794,16.34648,16.15564,16.08656,756,301,4,433,3.25623E+18,STAR,0.000222826,2892,54552,470
1.23765E+18,180.7013112,0.35077192,18.66689,16.40594,15.51028,15.14453,14.9482,756,301,4,433,3.25623E+18,STAR,0.000549634,2892,54552,467
1.23765E+18,180.7449008,0.265417439,16.71217,15.24155,14.70979,14.52481,14.46265,756,301,4,434,3.25623E+18,STAR,-0.000134133,2892,54552,463
1.23765E+18,180.8139519,0.266302704,17.90597,16.97449,16.68824,16.56905,16.54264,756,301,4,434,3.25623E+18,STAR,6.34E-05,2892,54552,464
1.23765E+18,180.8388277,0.273531849,18.97464,17.60488,17.09022,16.88779,16.79115,756,301,4,434,3.25623E+18,STAR,0.00041147,2892,54552,469
1.23765E+18,180.8408203,0.31230479,17.53573,16.54019,16.24028,16.12284,16.11312,756,301,4,434,3.25623E+18,STAR,0.000143832,2892,54552,472
1.23765E+18,180.8998479,0.417191863,18.12065,17.0913,16.80376,16.70857,16.69069,756,301,4,435,3.25623E+18,STAR,5.00E-05,2892,54552,468
1.23765E+18,180.9530747,0.307551836,19.01313,17.71921,17.16157,16.92821,16.82746,756,301,4,435,3.28439E+18,STAR,0.000468599,2917,54556,518
1.23765E+18,180.9597763,0.41630079,17.77226,16.47326,15.96202,15.75909,15.66772,756,301,4,435,3.25623E+18,STAR,0.000388049,2892,54552,481
1.23765E+18,180.9621952,0.342646058,17.52684,15.85701,15.21702,14.96524,14.85095,756,301,4,435,3.25624E+18,STAR,-0.00015634,2892,54552,487
1.23765E+18,180.9912986,0.398897926,19.59174,18.22005,17.6972,17.47307,17.37644,756,301,4,435,3.25624E+18,STAR,-0.000246794,2892,54552,485
1.23765E+18,181.0497366,0.315898983,17.83055,15.66679,14.82592,14.55318,14.42374,756,301,4,436,3.25624E+18,STAR,8.94E-05,2892,54552,484
1.23765E+18,359.0645586,55.38214012,15.7622,13.54537,12.69545,12.42192,12.33466,1000,301,1,68,2.67632E+18,STAR,-8.32E-05,2377,53991,203
1.23765E+18,358.889664,55.39104188,17.67721,14.77528,13.6752,13.34613,12.45619,1000,301,1,68,2.67632E+18,STAR,-0.00023369,2377,53991,210
1.23765E+18,358.8656288,55.48400649,18.8442,17.12172,16.41129,16.03107,16.02553,1000,301,1,69,2.67632E+18,STAR,-0.000194244,2377,53991,204
1.23765E+18,358.8665978,55.55999118,14.61331,13.87947,13.11294,12.01807,11.83048,1000,301,1,70,2.67633E+18,STAR,-0.00011302,2377,53991,252
1.23765E+18,358.8426548,55.6606242,18.93497,15.32513,14.48642,14.50206,13.95219,1000,301,1,70,2.67633E+18,STAR,-0.000161959,2377,53991,246
1.23765E+18,358.9130075,55.57072004,17.35562,15.4736,14.51375,13.98767,13.8472,1000,301,1,70,2.67632E+18,STAR,-7.26E-05,2377,53991,207
1.23765E+18,358.9957784,55.63030803,18.90055,14.9139,13.38509,12.77258,12.22907,1000,301,1,70,2.67632E+18,STAR,-0.000224527,2377,53991,206
1.23765E+18,358.7134959,55.66160637,18.46324,14.99059,14.05962,13.89136,13.18366,1000,301,1,70,2.67633E+18,STAR,-0.000264538,2377,53991,247
1.23765E+18,358.7687736,55.79150885,16.32525,13.85573,12.60887,12.20366,11.70038,1000,301,1,71,2.67633E+18,STAR,-0.000124194,2377,53991,241
1.23765E+18,358.8270597,55.70110687,19.11339,15.2648,14.1488,13.38608,13.41529,1000,301,1,71,2.67633E+18,STAR,-0.000153846,2377,53991,244
1.23765E+18,358.7683399,55.73179744,17.7854,15.21376,14.09978,13.48331,13.31116,1000,301,1,71,2.67633E+18,STAR,-0.000253719,2377,53991,249
1.23765E+18,358.9122399,55.89019963,17.21254,15.26124,14.38605,14.07872,13.92771,1000,301,1,72,2.67632E+18,STAR,-0.000125574,2377,53991,202
1.23765E+18,359.0571351,55.90146349,14.56906,13.06488,12.52759,12.5511,12.32606,1000,301,1,72,2.67632E+18,STAR,-0.000159728,2377,53991,212
1.23765E+18,358.7626888,55.90143047,16.3757,14.30033,13.36753,13.03158,12.75918,1000,301,1,72,2.67633E+18,STAR,-0.000128249,2377,53991,255
1.23765E+18,358.9203795,55.92016304,16.38597,13.9609,13.12771,12.86553,12.59171,1000,301,1,72,2.67632E+18,STAR,-0.000121781,2377,53991,215
1.23765E+18,358.8006651,56.01166572,17.74012,15.27836,13.91003,13.8358,13.31045,1000,301,1,73,2.67633E+18,STAR,-0.000312138,2377,53991,251
1.23765E+18,358.7485557,56.04130457,17.49779,15.56665,14.5151,13.7415,13.70774,1000,301,1,73,2.67633E+18,STAR,-0.000342795,2377,53991,256
1.23765E+18,358.9787974,56.11262326,17.25074,15.07269,13.70799,12.02137,12.52034,1000,301,1,73,2.67632E+18,STAR,-0.000221739,2377,53991,221
1.23765E+18,358.8843462,56.42248152,17.03023,14.7532,13.54492,13.58163,13.27131,1000,301,1,75,2.67633E+18,STAR,-4.12E-05,2377,53991,233
1.23765E+18,358.9860719,56.49121456,16.0816,14.06349,13.31405,12.95376,12.74621,1000,301,1,76,2.67632E+18,STAR,-6.61E-05,2377,53991,186
1.23765E+18,358.9476737,56.53022802,17.41817,15.21505,14.22207,13.86371,13.64982,1000,301,1,76,2.67633E+18,STAR,-0.000100996,2377,53991,234
1.23765E+18,358.7641027,56.53232915,17.18803,14.57609,13.50522,13.02702,12.68543,1000,301,1,76,2.67633E+18,STAR,-0.000243423,2377,53991,236
1.23765E+18,358.6600823,56.53117957,17.14235,14.91598,13.89217,13.43729,13.14406,1000,301,1,76,2.67634E+18,STAR,-0.000231244,2377,53991,265
1.23765E+18,358.6865424,56.54208303,15.96265,13.67487,12.81864,12.40426,12.11337,1000,301,1,76,2.67633E+18,STAR,-0.000192639,2377,53991,239
1.23765E+18,358.7878164,56.57873496,13.81838,12.52328,12.61232,12.61736,12.48861,1000,301,1,76,2.67633E+18,STAR,-9.77E-05,2377,53991,227
1.23765E+18,358.9013557,56.57097163,17.53546,14.36341,13.05686,12.43919,11.93136,1000,301,1,76,2.67633E+18,STAR,-0.000259065,2377,53991,228
1.23765E+18,358.6161511,56.56442535,15.35504,13.91047,13.35001,13.05887,12.91362,1000,301,1,76,2.67634E+18,STAR,-0.000138011,2377,53991,261
1.23765E+18,358.8290277,56.63192805,16.29925,14.01301,13.2242,12.75351,12.4527,1000,301,1,77,2.67633E+18,STAR,-0.000139712,2377,53991,223
1.23765E+18,358.815974,56.65024158,18.54,15.50598,14.34388,13.79237,13.35747,1000,301,1,77,2.67633E+18,STAR,-0.000309192,2377,53991,237
1.23765E+18,358.9569193,56.65499998,15.70665,12.7777,11.83554,11.31413,11.32714,1000,301,1,77,2.67633E+18,STAR,-0.000182341,2377,53991,232
1.23765E+18,358.7516856,56.65246251,18.44798,15.13348,13.94897,13.41114,12.99408,1000,301,1,77,2.67633E+18,STAR,-0.000219782,2377,53991,240
1.23765E+18,358.7819649,56.6923676,16.36712,13.66103,13.03518,12.85938,11.81991,1000,301,1,77,2.67638E+18,STAR,-0.000173159,2377,53991,438
1.23765E+18,358.911248,56.71236153,13.70971,11.9727,12.2198,12.3715,12.19167,1000,301,1,77,2.67639E+18,STAR,-4.78E-05,2377,53991,440
1.23765E+18,358.8516588,56.59280189,18.31352,15.39087,14.24318,13.70322,13.43013,1000,301,1,77,2.67633E+18,STAR,-0.000124363,2377,53991,222
1.23765E+18,358.9641444,56.61105097,17.80232,15.37202,14.38983,13.98515,13.72152,1000,301,1,77,2.67633E+18,STAR,-0.000202024,2377,53991,225
1.23765E+18,358.8525224,56.62212375,17.9845,15.41245,14.46244,14.04601,13.75892,1000,301,1,77,2.67633E+18,STAR,-0.000107106,2377,53991,238
1.23765E+18,358.8744605,56.68147302,17.85657,15.44188,14.48317,14.0639,13.75346,1000,301,1,77,2.67638E+18,STAR,3.84E-05,2377,53991,434
1.23765E+18,358.8153784,56.750289,16.24924,13.91451,12.81632,12.44378,11.85372,1000,301,1,78,2.67638E+18,STAR,-0.00017613,2377,53991,433
1.23765E+18,358.6613746,56.75251065,19.04,15.68058,13.81506,13.21026,12.48558,1000,301,1,78,2.67637E+18,STAR,-0.000582645,2377,53991,394
1.23765E+18,358.8250057,56.77286914,17.70046,15.45624,14.03854,13.57746,13.0944,1000,301,1,78,2.67638E+18,STAR,-0.000220728,2377,53991,435
1.23765E+18,358.7867043,56.79089422,13.39401,11.84013,13.24785,12.99728,11.96581,1000,301,1,78,2.67638E+18,STAR,-2.84E-05,2377,53991,431
1.23765E+18,358.9282187,56.81538124,14.23213,12.9874,12.59837,12.64446,12.38616,1000,301,1,78,2.67638E+18,STAR,-4.82E-06,2377,53991,430
1.23765E+18,358.8328912,56.82256878,15.05206,13.78823,13.2282,13.1007,12.9278,1000,301,1,78,2.67638E+18,STAR,2.91E-05,2377,53991,427
1.23765E+18,358.8552662,56.83299807,16.3781,14.05032,12.92421,12.50808,12.13487,1000,301,1,78,2.67638E+18,STAR,-0.000191003,2377,53991,426
1.23765E+18,358.7711224,56.87840435,13.43369,12.39654,13.03373,12.41107,12.21996,1000,301,1,78,2.67637E+18,STAR,-6.63E-05,2377,53991,399
1.23765E+18,358.8105494,56.87276497,15.11718,13.32948,13.24906,12.44372,11.64674,1000,301,1,78,2.67637E+18,STAR,-0.000111692,2377,53991,383
1.23765E+18,358.7467476,56.74135267,18.20468,15.93065,14.41316,13.99762,13.42493,1000,301,1,78,2.67637E+18,STAR,-0.000193213,2377,53991,392
1.23765E+18,358.6626399,56.89292239,15.81963,13.47957,12.48543,11.92316,11.65409,1000,301,1,79,2.67637E+18,STAR,-0.000181216,2377,53991,386
1.23765E+18,358.9275005,56.9116702,15.18777,13.7777,13.19891,12.83159,12.79395,1000,301,1,79,2.67638E+18,STAR,-0.00011733,2377,53991,424
1.23765E+18,358.7566395,56.90067198,18.50122,15.7676,14.46609,13.8151,13.48369,1000,301,1,79,2.67638E+18,STAR,-0.000262898,2377,53991,437
1.23765E+18,224.3679127,0.492218127,18.3094,17.13075,16.63043,16.43888,16.33171,752,301,5,540,3.73136E+18,STAR,0.000256356,3314,54970,467
1.23765E+18,224.4692456,0.532670431,18.22791,17.03074,16.47815,16.24079,16.09382,752,301,5,540,3.73136E+18,STAR,0.000686585,3314,54970,470
1.23765E+18,224.5028969,0.497600707,18.55733,17.24357,16.62276,16.34301,16.20834,752,301,5,541,3.73136E+18,STAR,-2.15E-05,3314,54970,468
1.23765E+18,224.5064159,0.56837333,17.54774,16.37762,15.95853,15.80821,15.75121,752,301,5,541,3.73136E+18,STAR,-8.45E-05,3314,54970,471
1.23765E+18,224.6975041,0.585524685,17.40638,16.31527,15.93188,15.76507,15.73012,752,301,5,542,3.48075E+17,STAR,4.41E-05,309,51994,624
1.23765E+18,224.7045764,0.619730819,17.89244,16.8585,16.42653,16.2378,16.17277,752,301,5,542,3.73137E+18,STAR,0.000105197,3314,54970,489
1.23765E+18,224.8718955,0.555637993,18.84333,18.96658,19.36977,19.6634,19.85168,752,301,5,543,4.52526E+18,STAR,-0.000111526,4019,55363,982
1.23765E+18,224.9593429,0.577381991,19.35532,18.27781,18.22118,18.25271,18.32363,752,301,5,544,3.73138E+18,STAR,-0.000707557,3314,54970,526
1.23765E+18,225.2306761,0.591534438,18.57234,16.99515,16.34627,16.08808,15.94475,752,301,5,546,3.73141E+18,STAR,-3.49E-05,3314,54970,630
1.23765E+18,225.2634464,0.577676712,19.49323,18.49499,18.15971,18.02188,17.99701,752,301,5,546,3.73141E+18,STAR,-9.75E-05,3314,54970,633
1.23765E+18,225.4706693,0.453889628,18.48222,17.49325,17.08255,16.89532,16.82697,752,301,5,547,3.73139E+18,STAR,0.000241502,3314,54970,569
1.23765E+18,225.4760957,0.626574672,17.13654,16.03048,15.62024,15.47803,15.39691,752,301,5,547,3.73141E+18,STAR,3.04E-05,3314,54970,631
1.23765E+18,225.5208151,0.524943118,19.40716,17.78006,16.91992,16.72598,16.48121,752,301,5,547,3.7314E+18,STAR,-0.000251273,3314,54970,606
1.23765E+18,225.6903692,0.485676085,17.33077,16.34117,15.90429,15.72185,15.63862,752,301,5,549,3.7314E+18,STAR,-0.000263366,3314,54970,610
1.23765E+18,225.8862418,0.466173901,19.5495,18.2529,18.31471,18.40305,18.45414,752,301,5,550,6.06885E+17,STAR,-0.000446146,539,52017,89
