objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765e+18,186.834813,64.80150667,14.72825,13.20555,12.44427,12.06544,11.75742,1302,301,3,382,6.75606e+17,GALAXY,0.008881462,600,52317,239
1.23765e+18,154.6799358,-0.580968194,18.57341,18.37022,18.35338,18.09528,18.12712,756,301,2,259,3.06331e+17,QSO,1.759872,272,51941,313
1.23765e+18,172.1853163,-1.72115919,18.32295,17.30176,16.82865,16.64511,16.57886,1140,301,5,129,3.64007e+18,STAR,1.08e-05,3233,54891,128
1.23765e+18,151.5692185,1.239441184,19.5525,18.29545,17.64888,17.27122,17.03209,756,301,6,239,5.6409e+17,GALAXY,0.04524813,501,52235,52
1.23765e+18,9.127329741,14.6217818,18.98202,17.67807,17.142,16.84185,16.62899,1035,301,3,24,4.70692e+17,GALAXY,0.0386847,418,51817,239
1.23765e+18,10.10464998,14.67020555,19.23633,17.54399,16.79549,16.51974,16.33822,1035,301,3,31,3.52745e+18,STAR,-0.000570568,3133,54789,27
1.23765e+18,29.30035923,14.03561971,19.22042,17.46386,16.57186,16.12765,15.79005,1043,301,4,191,4.80858e+17,GALAXY,0.080918,427,51900,359
1.23765e+18,256.5660161,60.70519556,16.65405,15.39612,14.89217,14.64765,14.42327,1336,301,3,39,3.95217e+17,GALAXY,0.01194774,351,51695,96
1.23765e+18,200.3177895,0.150318,18.51094,16.29995,15.38677,15.07351,14.86744,752,301,4,379,3.72349e+18,STAR,-1.69e-05,3307,54970,492
1.23765e+18,144.616385,0.692162592,19.59534,18.33888,17.83259,17.64017,17.54989,756,301,5,192,5.36083e+17,STAR,0.00023934,476,52314,564
1.23765e+18,181.1109352,-0.612853342,17.76142,16.80072,16.51128,16.40626,16.40061,756,301,2,436,3.25615e+18,STAR,0.000213469,2892,54552,168
1.23765e+18,20.92804169,14.05257089,18.43794,16.90625,16.20403,15.84791,15.59014,1035,301,3,101,4.77421e+17,GALAXY,0.0549806,424,51893,142
