objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765e+18,255.5278889,61.92805075,19.58683,18.24691,17.45158,17.06547,16.78254,1336,301,3,30,3.95322e+17,GALAXY,0.1256712,351,51695,478
1.23765e+18,146.7990929,0.702692967,16.70126,15.79634,15.40868,15.1901,15.01292,756,301,5,207,2.99639e+17,GALAXY,0.03053254,266,51630,545
1.23765e+18,126.9857264,47.94852363,19.17278,17.77619,16.93484,16.48163,16.11587,1345,301,2,131,4.98827e+17,GALAXY,0.1287484,443,51873,193
1.23765e+18,165.7829029,3.398025418,19.23184,18.2799,17.9475,17.8168,17.79949,1462,301,6,270,5.37172e+18,STAR,-0.000256997,4771,55925,172
1.23765e+18,187.8615377,-1.896445518,19.56397,19.28666,18.94178,18.6707,18.37777,1231,301,5,124,3.76211e+17,QSO,0.4045177,334,51993,585
1.23765e+18,180.3727357,0.667210892,19.20797,17.58644,16.69723,16.29304,15.9801,756,301,5,431,3.21036e+17,GALAXY,0.1252062,285,51930,561
1.23765e+18,125.3900185,47.0437005,19.32122,17.86063,16.89372,16.36995,16.08646,1345,301,3,122,4.96646e+17,QSO,0.1282468,441,51868,453
1.23765e+18,190.4504746,-0.871439487,18.66492,17.29809,16.54661,16.07214,15.81645,756,301,1,498,3.27708e+17,GALAXY,0.1007091,291,51928,260
1.23765e+18,171.3857634,-1.360715684,17.73061,16.71282,16.22828,16.05432,15.96429,1140,301,6,123,3.6401e+18,STAR,0.000342744,3233,54891,228
1.23765e+18,150.5073817,62.13787378,18.24117,18.08189,17.99341,17.51665,17.63878,1412,301,1,66,5.48318e+17,QSO,0.1332757,487,51943,16
1.23765e+18,215.7134349,0.911078055,18.74028,17.46577,16.99626,16.7851,16.66409,1462,301,1,603,3.43504e+17,STAR,0.0001236,305,51613,381
1.23765e+18,225.3109841,2.880393087,18.87034,17.97186,17.68429,17.57936,17.52964,1462,301,6,667,4.52073e+18,STAR,-5.22e-05,4015,55624,872
1.23765e+18,33.36589035,13.4683769,18.01964,16.6261,15.94186,15.5448,15.23989,1035,301,4,181,4.81918e+17,GALAXY,0.04151913,428,51883,119
1.23765e+18,137.8259181,51.67831003,19.40678,19.38196,19.40664,19.13148,19.15898,2074,301,2,125,6.22674e+17,QSO,1.808795,553,51999,187
1.23765e+18,319.4205321,-7.656944889,17.37494,15.49735,14.63582,14.23698,14.01773,1659,301,2,96,2.59527e+18,STAR,-0.000400607,2305,54414,273
1.23765e+18,127.6377459,53.47624339,15.26814,14.0797,14.23241,14.34641,14.46892,1350,301,5,168,2.60767e+18,STAR,-0.00026086,2316,53757,318
1.23765e+18,46.95361452,-8.000805548,18.96867,17.53795,16.90714,16.64002,16.52141,1045,301,2,85,3.58603e+18,STAR,0.000284811,3185,54829,146
1.23765e+18,357.3361337,-10.61853609,18.08639,17.15963,16.91378,16.78754,16.74041,1666,301,2,174,2.60198e+18,STAR,-0.000141611,2311,54331,92
1.23765e+18,116.7436064,36.53109003,19.37535,19.04575,18.85582,18.58591,18.53421,1889,301,5,77,6.11441e+17,QSO,1.626796,543,52017,281
1.23765e+18,254.5347398,61.83390998,19.57846,18.96853,18.14838,17.69989,17.37508,1336,301,2,30,3.95312e+17,GALAXY,0.3742378,351,51695,439
1.23765e+18,222.9156665,-1.229574998,19.49682,18.58812,18.28858,18.15737,18.08125,752,301,1,530,1.03705e+18,STAR,-0.000466287,921,52380,336
1.23765e+18,9.909660553,14.66423257,17.84887,16.22591,15.27037,14.77012,14.28236,1035,301,3,29,4.70669e+17,GALAXY,0.01742386,418,51817,155
1.23765e+18,58.83668203,-6.36856912,18.18703,17.10141,16.647,16.45868,16.40192,1045,301,2,165,8.16625e+18,STAR,-0.000223635,7253,56598,350
1.23765e+18,172.2524837,-0.464674442,19.49658,18.14703,17.50024,17.15014,16.88142,756,301,2,377,3.16408e+17,GALAXY,0.1040979,281,51614,108
1.23765e+18,251.1211436,45.90268737,19.54717,18.27761,18.06963,17.98812,17.90742,1453,301,5,64,6.78586e+18,STAR,-0.000334468,6027,56103,240
1.23765e+18,351.6762992,-10.47398176,18.69063,17.6144,17.17342,17.00937,16.96401,1666,301,2,137,3.54104e+18,STAR,-0.000237483,3145,54801,293
1.23765e+18,176.7605742,-3.332076815,18.78908,17.60987,16.96427,16.60232,16.37182,1140,301,1,159,3.70481e+17,GALAXY,0.1312591,329,52056,217
1.23765e+18,250.3076517,46.51693229,19.44665,19.33778,19.31797,19.15522,19.01422,1453,301,5,58,6.78598e+18,QSO,1.965151,6027,56103,642
1.23765e+18,249.9247124,0.569995044,17.94162,16.50016,15.80118,15.35494,15.0892,752,301,5,710,3.91986e+17,GALAXY,0.07265304,348,51671,628
