objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.24E+18,209.4390501,-0.293125741,21.40675,20.88552,20.89071,20.91209,20.72144,752,301,3,440,4.55E+18,QSO,2.399763,4037,55631,474
1.24E+18,121.8775773,45.07725006,25.92152,22.26305,20.55681,19.7116,19.16875,1331,301,5,126,7.18E+18,GALAXY,0.4563241,6378,56330,717
1.24E+18,124.7562704,46.14302438,22.10301,20.44919,18.64295,17.98695,17.58418,1331,301,3,140,4.97E+17,GALAXY,0.3545951,441,51868,115
1.24E+18,183.8494612,0.143010283,22.85248,22.09973,20.28476,19.4189,19.06876,752,301,4,269,4.33E+18,GALAXY,0.4804636,3845,55323,17
1.24E+18,189.8108169,-2.207313947,20.58849,20.14927,20.02577,20.14147,19.83024,1140,301,4,246,4.25E+18,QSO,0.7482591,3778,55213,110
1.24E+18,200.4798015,-0.542132298,20.39507,18.67111,17.52223,17.03529,16.6977,1334,301,2,26,3.34E+17,GALAXY,0.172948,297,51959,302
1.24E+18,213.454649,-0.775199187,18.66351,16.70308,15.63021,15.11394,14.68904,752,301,2,467,3.41E+17,GALAXY,0.1195413,303,51615,126
1.24E+18,217.7868735,-0.253086099,19.34911,19.22205,19.02248,19.0478,19.05058,752,301,3,496,3.45E+17,QSO,1.34866,306,51637,192
1.24E+18,189.0564334,-2.166943736,21.71736,21.43596,21.35412,21.24073,20.64515,1140,301,4,241,4.25E+18,QSO,0.9965931,3778,55213,267
1.24E+18,187.6665677,1.151110515,21.91549,21.37784,21.3279,21.28955,20.64476,756,301,6,480,4.33E+18,QSO,2.295653,3847,55588,952
1.24E+18,166.8665539,-2.810278312,22.41457,21.77763,21.59359,21.46556,21.28242,1140,301,2,93,4.25E+18,QSO,1.75902,3773,55240,220
1.24E+18,226.4240643,59.43849269,19.78042,18.70469,18.32673,18.24237,18.20204,1345,301,6,493,7.64E+18,STAR,-0.000723521,6789,56401,844
1.24E+18,199.9993307,0.321563024,20.0623,18.85032,18.42367,18.24029,18.14028,1334,301,4,22,3.72E+18,STAR,5.21E-05,3307,54970,476
1.24E+18,163.8645762,-0.471310898,19.50503,19.46745,19.15787,19.07567,19.11254,756,301,2,321,3.11E+17,QSO,1.356743,276,51909,61
1.24E+18,159.7301819,-1.559134937,21.10744,20.62657,20.54993,20.39739,20.07924,1140,301,5,46,4.25E+18,QSO,2.273379,3771,55544,681
1.24E+18,161.6120674,0.658036513,17.78507,16.67341,16.36024,16.25194,16.23421,756,301,5,306,2.71E+18,STAR,-0.000108075,2409,54210,437
1.24E+18,235.4392948,52.4796375,19.08094,17.48834,16.7495,16.3947,16.13926,1345,301,1,549,6.96E+17,GALAXY,0.03762966,618,52049,291
