objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,201.226039,0.495166055,18.0294,17.15425,16.87729,16.61592,16.54666,752,301,5,385,3.3344E+17,GALAXY,0.06028418,296,51578,632
1.23765E+18,199.7389212,-0.198309643,17.27938,15.50455,14.64715,14.19163,13.79359,1334,301,3,21,3.33329E+17,GALAXY,0.05354707,296,51578,226
1.23765E+18,151.1515777,-0.193220837,18.38039,17.02025,16.38287,16.03368,15.77508,756,301,3,236,3.0292E+17,GALAXY,0.0695365,269,51581,193
1.23765E+18,151.988019,0.606991222,19.24726,17.30749,16.29784,15.86491,15.54931,1473,301,5,60,3.03028E+17,GALAXY,0.09581964,269,51581,587
1.23765E+18,147.1695016,1.096250086,19.2282,19.0896,18.98833,18.7528,18.67974,756,301,6,209,3.00706E+17,QSO,1.813826,267,51608,330
1.23765E+18,148.0953072,-1.143139317,19.24314,18.01781,17.58481,17.29192,17.14447,1473,301,1,34,3.00649E+17,GALAXY,0.04876426,267,51608,124
1.23765E+18,146.5039178,0.413836095,19.35893,17.89577,17.24237,16.99044,16.85701,756,301,4,205,3.0071E+17,STAR,-5.47E-05,267,51608,343
1.23765E+18,147.561504,1.229834213,18.90171,17.30983,16.49067,16.08543,15.78429,1462,301,2,148,3.00719E+17,GALAXY,0.09892269,267,51608,378
1.23765E+18,148.7329205,-0.761151504,18.4286,16.8308,16.01616,15.58288,15.28753,2141,301,2,41,3.00618E+17,GALAXY,0.08627161,267,51608,8
1.23765E+18,148.8053186,0.488452837,18.6545,17.85412,17.62757,17.33124,17.34776,2141,301,5,41,3.0078E+17,GALAXY,0.07153107,267,51608,600
1.23765E+18,147.7402396,0.863144797,17.97391,16.82672,16.23739,15.94267,15.67652,1462,301,1,149,3.0073E+17,GALAXY,0.02513117,267,51608,416
1.23765E+18,148.4138013,0.59532797,19.08398,18.07086,17.68705,17.34249,17.20657,1473,301,5,36,3.00754E+17,GALAXY,0.09474918,267,51608,503
1.23765E+18,147.1963122,1.053224027,17.38058,15.74086,14.92288,14.51746,14.16163,756,301,6,209,3.00706E+17,GALAXY,0.02726925,267,51608,329
1.23765E+18,147.1851238,1.013722758,18.48567,17.23497,16.73623,16.56257,16.50287,1239,301,6,179,3.00705E+17,STAR,0.000132205,267,51608,325
1.23765E+18,147.9988739,1.046549498,18.87259,17.75566,17.31867,17.06793,16.97463,1907,301,1,169,3.00737E+17,GALAXY,0.02117685,267,51608,444
1.23765E+18,147.4305907,0.093400633,18.80283,18.48472,18.32721,18.2451,18.04915,1239,301,4,181,3.00701E+17,QSO,0.4218703,267,51608,313
1.23765E+18,149.1608944,-0.358016663,17.87147,15.83815,14.85085,14.39036,14.02733,2141,301,3,44,3.00621E+17,GALAXY,0.087761,267,51608,22
1.23765E+18,147.1393677,-0.850965932,18.94246,18.5843,18.40988,18.15714,18.20417,756,301,1,209,3.00696E+17,QSO,1.609856,267,51608,294
1.23765E+18,147.8308792,-0.175939058,18.98907,17.97828,17.44428,17.2526,17.09242,756,301,3,214,3.00665E+17,GALAXY,0.03704123,267,51608,181
1.23765E+18,148.5425131,0.605445462,18.8597,17.7364,17.18121,16.80791,16.54182,1473,301,5,37,3.00765E+17,GALAXY,0.03512238,267,51608,544
1.23765E+18,147.4286826,1.107491909,19.24352,17.2606,16.23008,15.76121,15.38439,756,301,6,211,3.00715E+17,GALAXY,0.09866054,267,51608,362
1.23765E+18,147.9909992,-1.106815656,18.27294,17.17969,16.7189,16.3011,16.21444,1473,301,1,33,3.00651E+17,GALAXY,0.07459193,267,51608,130
1.23765E+18,147.1406214,0.41622499,19.02503,18.8155,18.51251,18.30922,18.31968,756,301,4,209,3.00711E+17,QSO,1.487651,267,51608,349
1.23765E+18,147.6272433,1.220490128,19.0919,17.98362,17.20288,16.73062,16.49463,1462,301,2,148,3.00727E+17,GALAXY,0.1306843,267,51608,405
1.23765E+18,148.6924137,0.042011564,19.46998,18.70016,18.36852,18.02515,18.06442,2141,301,4,41,3.00659E+17,GALAXY,0.103538,267,51608,158
1.23765E+18,149.0344416,0.470241311,18.57509,18.56578,18.44351,18.44547,17.8798,2141,301,5,43,3.00788E+17,QSO,0.3097312,267,51608,630
1.23765E+18,147.7899256,0.916181603,19.26065,17.42687,16.55634,16.11841,15.80029,1462,301,1,149,3.00729E+17,GALAXY,0.09404112,267,51608,413
1.23765E+18,148.6082769,0.606388454,18.83508,17.58282,17.01436,16.6833,16.48125,1473,301,5,37,3.00767E+17,GALAXY,0.07965201,267,51608,551
1.23765E+18,147.4567337,1.092577654,17.84441,16.3426,15.67258,15.30615,15.0493,756,301,6,211,3.00715E+17,GALAXY,0.03480157,267,51608,363
1.23765E+18,147.9944738,0.984688375,19.20087,18.23854,17.87983,17.6122,17.43661,1239,301,6,185,3.00739E+17,GALAXY,0.0466621,267,51608,451
1.23765E+18,148.7574411,0.969522903,17.26423,16.0745,15.46077,15.06488,14.798,1907,301,1,174,3.00781E+17,GALAXY,0.0629528,267,51608,603
1.23765E+18,147.4053829,0.111334171,19.21152,17.93215,17.35266,16.95938,16.7974,1239,301,4,181,3.00702E+17,GALAXY,0.06903543,267,51608,314
1.23765E+18,148.9857154,0.005341219,18.75909,17.62951,17.23588,17.07592,17.06839,2141,301,4,43,3.00636E+17,STAR,3.18E-05,267,51608,75
1.23765E+18,147.0778538,-0.873018113,19.19269,17.52832,16.64588,16.14556,15.77973,756,301,1,209,3.00696E+17,GALAXY,0.06685378,267,51608,295
1.23765E+18,147.8630635,-0.168406105,18.90579,17.75234,17.12903,16.70868,16.45255,756,301,3,214,3.00666E+17,GALAXY,0.1258022,267,51608,186
1.23765E+18,148.8170608,0.562955281,18.29272,16.50344,15.57236,15.08171,14.71362,1473,301,5,38,3.00776E+17,GALAXY,0.06268381,267,51608,584
1.23765E+18,147.7592973,1.075715442,15.47201,15.57497,15.90389,16.16473,16.41831,756,301,6,213,3.0073E+17,STAR,2.95E-05,267,51608,419
1.23765E+18,148.2798046,-1.060903379,19.25151,17.22908,16.26937,15.81244,15.5027,1473,301,1,35,3.00642E+17,GALAXY,0.08355071,267,51608,98
