#Table1
name,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,specObjID,plate,mjd,fiberID,z
A1,1237663784741044448,15.5039099753594,0.512175841643104,4263,301,5,219,GALAXY,19.17323,18.05417,17.63052,17.40486,17.26808,445975965466650624,396,51816,435,0.01828498
A1,1237663784741044534,15.493379906406,0.513567152716239,4263,301,5,219,GALAXY,23.47893,21.21339,19.43896,18.81951,18.36761,780386936845002752,693,52254,503,0.3735434
A1,1237663784741044534,15.493379906406,0.513567152716239,4263,301,5,219,GALAXY,23.47893,21.21339,19.43896,18.81951,18.36761,4757149299279327232,4225,55455,808,0.3734345
A1,1237663784741044446,15.5020018974761,0.51535195474449,4263,301,5,219,STAR,22.01991,19.73068,18.67124,18.26156,17.99545,1686704761966979072,1498,52914,388,0.0001139489
A1,1237663784741044606,15.4835633018272,0.503071855787152,4263,301,5,219,STAR,21.56057,21.17098,21.11005,20.92927,20.72785,4205402815462043648,3735,55209,606,2.166383
A1,1237663784741044537,15.5162827566056,0.47817534004666,4263,301,5,219,STAR,24.73654,22.63413,20.97789,18.78294,17.59599,4757152048058396672,4225,55455,818,-9.726128E-05
A1,1237663784741044441,15.4823560631074,0.471203152736801,4263,301,5,219,GALAXY,19.60809,17.73087,16.79607,16.38443,16.04218,445963321082931200,396,51816,389,0.09485616
A1,1237663784741044929,15.4914100735619,0.46335949197658,4263,301,5,219,GALAXY,22.74431,20.97967,19.28478,18.63372,18.20353,780383088554305536,693,52254,489,0.3908703
A1,1237663784741044489,15.5401373626042,0.504160292697221,4263,301,5,219,GALAXY,19.99551,19.56043,19.24524,19.19972,19.2969,1685632187904321536,1497,52886,582,0.202661
A2,1237663784740585718,14.5135967486578,0.59359949462991,4263,301,5,212,STAR,21.27538,19.55173,18.67999,18.28997,18.06681,1685602226212464640,1497,52886,473,0.0002114226
A2,1237663784740651468,14.5257548312028,0.570840122701871,4263,301,5,213,GALAXY,23.28353,22.01811,20.69031,19.73656,19.35608,4757094323697938432,4225,55455,608,0.5602654
A2,1237663204920525115,14.5022369471368,0.638986494316952,4128,301,5,220,GALAXY,24.52978,20.85726,19.02552,18.28421,17.86872,444845941837555712,395,51783,420,0.42004
A2,1237663784740651130,14.5285959674108,0.572670884300637,4263,301,5,213,STAR,21.95462,19.46988,18.10477,17.40229,16.99496,1219477734493808640,1083,52520,466,-2.425595E-05
A2,1237663784740586326,14.4913790882112,0.62293938354224,4263,301,5,212,GALAXY,24.10291,21.63105,19.78795,18.98934,18.57336,4757090750285148160,4225,55455,595,0.4218582
A3,1237663204920262962,13.9044431442176,0.78943252773478,4128,301,5,216,GALAXY,22.03176,19.89904,18.24522,17.65712,17.25507,779280552380360704,692,52201,574,0.2846099
A3,1237663204920262787,13.8900775478056,0.752136515343018,4128,301,5,216,STAR,19.74039,18.83314,18.51124,18.37968,18.3575,3502832745514639360,3111,54800,575,-0.0006348569
A3,1237663204920262957,13.8966699570323,0.770806624849751,4128,301,5,216,STAR,22.09556,20.22349,18.89732,18.36299,18.0377,1684512060383193088,1496,52883,603,0.0001539909
A3,1237663204920262772,13.8710367872276,0.813318261069483,4128,301,5,216,STAR,20.31417,19.39755,19.07134,18.92063,18.75789,3502830546491383808,3111,54800,567,-6.167396E-05
A3,1237663204920262772,13.8710367872276,0.813318261069483,4128,301,5,216,STAR,20.31417,19.39755,19.07134,18.92063,18.75789,3503889101344579584,3112,54802,322,-5.885475E-05
A3,1237663204920262971,13.9312038319797,0.791949660818843,4128,301,5,216,GALAXY,21.76769,20.05029,18.48151,17.91001,17.58331,4756029996878458880,4224,55481,832,0.262989
A3,1237663204920262960,13.9021819446458,0.767430888690705,4128,301,5,216,STAR,22.85967,20.39944,18.8885,17.9521,17.45069,1274686693651277824,1132,52903,611,3.289698E-05
A3,1237663204920262960,13.9021819446458,0.767430888690705,4128,301,5,216,STAR,22.85967,20.39944,18.8885,17.9521,17.45069,3502842915997196288,3111,54800,612,3.439238E-05
A3,1237663204920262960,13.9021819446458,0.767430888690705,4128,301,5,216,STAR,22.85967,20.39944,18.8885,17.9521,17.45069,3503907518164344832,3112,54802,389,3.187973E-05
A3,1237663204920262791,13.8954615989061,0.837096626317795,4128,301,5,216,STAR,21.39735,19.05665,17.58642,16.84,16.40163,1270181715171633152,1128,52637,606,-7.948763E-05
