objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23765E+18,196.7735314,-1.176839226,16.22864,15.0852,14.46472,14.17312,13.91586,752,301,1,355,3.3105E+17,GALAXY,0.01865457,294,51986,127
1.23765E+18,197.0885268,-1.218833127,18.4452,16.90764,16.22432,15.88036,15.62404,752,301,1,358,3.31037E+17,GALAXY,0.117861,294,51986,81
1.23765E+18,197.1549234,-1.252763102,19.52571,17.74521,16.76546,16.32036,15.99769,752,301,1,358,3.82895E+17,GALAXY,0.1130972,340,51990,322
1.23765E+18,197.1610344,-1.219608648,19.37938,17.4155,16.3559,15.93132,15.57422,752,301,1,358,3.31026E+17,GALAXY,0.1130015,294,51986,41
1.23765E+18,197.637499,-1.214256732,19.47885,17.58269,16.7556,16.35475,16.10601,752,301,1,361,3.32218E+17,GALAXY,0.08455453,295,51985,283
1.23765E+18,197.6630798,-1.109787691,19.38302,18.31566,17.71927,17.34785,17.14929,752,301,1,361,3.32222E+17,GALAXY,0.1185975,295,51985,295
1.23765E+18,197.6709023,-1.24936436,18.98242,17.70605,16.9146,16.47284,16.1665,752,301,1,361,3.8291E+17,GALAXY,0.1410411,340,51990,380
1.23765E+18,197.9243961,-1.061991237,18.39058,16.48621,15.60406,15.18717,14.87708,752,301,1,363,3.32212E+17,GALAXY,0.063648,295,51985,260
1.23765E+18,198.0519971,-1.095129913,18.84993,17.14941,16.71698,16.45049,16.33658,752,301,1,364,3.32197E+17,GALAXY,0.04086484,295,51985,204
1.23765E+18,198.1541148,-1.197508914,17.4677,15.9797,15.18428,14.77405,14.48412,752,301,1,365,3.32174E+17,GALAXY,0.08540002,295,51985,123
1.23765E+18,198.1836791,-1.134032464,18.98141,17.24249,16.55521,16.1615,15.86302,752,301,1,365,3.32176E+17,GALAXY,0.04052293,295,51985,128
1.23765E+18,198.2674824,-1.225403649,19.2774,17.72449,16.99597,16.60364,16.37337,752,301,1,365,3.82953E+17,GALAXY,0.08353332,340,51990,534
1.23765E+18,198.7206753,-1.083875584,19.47473,18.18575,17.52763,17.14837,16.8958,752,301,1,368,3.32153E+17,GALAXY,0.1114584,295,51985,47
1.23765E+18,198.777927,-1.251031001,19.00992,17.14645,16.29424,15.90882,15.63426,752,301,1,369,3.8296E+17,GALAXY,0.0860414,340,51990,562
1.23765E+18,199.5419794,-1.243673204,15.44225,14.16943,13.49015,13.14345,12.87329,752,301,1,374,3.84022E+17,GALAXY,0.0191508,341,51690,326
1.23765E+18,199.7571996,-1.144175743,18.98022,17.11177,16.17397,15.7738,15.426,752,301,1,375,3.33322E+17,GALAXY,0.08569192,296,51984,201
1.23765E+18,199.9839859,-1.153900609,18.95441,17.77113,17.15055,16.77455,16.55557,752,301,1,377,3.33302E+17,GALAXY,0.07313969,296,51984,128
1.23765E+18,200.0366583,-1.056336235,17.93974,16.69954,16.0599,15.71198,15.43392,752,301,1,377,3.33294E+17,GALAXY,0.03420196,296,51984,100
1.23765E+18,200.1843183,-1.097780946,19.44256,17.46138,16.41647,15.98279,15.61421,752,301,1,378,3.33291E+17,GALAXY,0.1157569,296,51984,90
1.23765E+18,200.2651527,-1.210213095,18.88931,17.43389,16.64104,16.2809,15.99185,752,301,1,379,3.84056E+17,GALAXY,0.08300237,341,51690,450
1.23765E+18,200.3343542,-1.132225848,19.34652,17.49284,16.6798,16.31855,16.01687,752,301,1,379,3.33281E+17,GALAXY,0.04524084,296,51984,54
1.23765E+18,200.6164537,-1.132103561,18.6905,17.67179,17.0808,16.84809,16.73417,752,301,1,381,3.33271E+17,GALAXY,0.0853823,296,51984,18
1.23765E+18,200.9407136,-1.179906404,17.68518,16.20686,15.42145,14.98149,14.64197,752,301,1,383,3.34459E+17,GALAXY,0.04452853,297,51959,242
