objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237648705123909694,206.120286406413,0.472326648742318,17.03492,15.90725,15.7093,15.63481,15.60308,752,301,5,418,337863738017212416,STAR,-0.0004948095,300,51943,341
1237648705124171785,206.681678070846,0.510420911257747,18.67594,17.66796,17.3589,17.24884,17.22678,752,301,5,422,336815074238818304,STAR,0.0001165455,299,51671,622
1237648705124171830,206.747103791308,0.513131720543317,18.17344,16.99303,16.88297,16.88571,16.91445,752,301,5,422,337887102639302656,STAR,0.0008206766,300,51943,426
1237648705124237352,206.860469201733,0.513072341125924,18.91274,17.7324,17.28936,17.12817,17.05349,752,301,5,423,337889576540465152,STAR,-8.315928E-05,300,51943,435
1237648705124237390,206.879286473856,0.524012048567797,19.16799,18.31136,17.1766,17.81124,17.54,752,301,5,423,337897547999766528,STAR,-0.0001277794,300,51943,464
1237648705124433951,207.320304927018,0.439660088236844,19.0542,18.22392,17.83985,17.68984,17.62231,752,301,5,426,4552287745972916224,STAR,-0.0001189644,4043,55630,998
1237648705124696137,207.938234501088,0.524023398938443,18.87741,17.56204,17.60382,16.81297,16.65571,752,301,5,430,337933557005576192,STAR,-1.212459E-05,300,51943,595
1237648705124827374,208.284234762053,0.602864824453499,19.33853,19.02143,19.287,19.55625,19.83304,752,301,5,432,4548872112681799680,STAR,6.976951E-05,4040,55605,860
1237648705125023883,208.72123284841,0.540195052475183,18.96287,18.04177,18.32367,18.50766,18.65639,752,301,5,435,339002282290997248,STAR,-0.000157757,301,51942,387
1237648705125023889,208.745756272805,0.426748139805261,19.02979,18.0895,17.76269,17.62774,17.56006,752,301,5,435,339003106924718080,STAR,-0.0006091325,301,51942,390
1237648705125941318,210.771014516564,0.529464389113418,19.07835,18.04585,17.68946,17.54481,17.50636,752,301,5,449,340120756232939520,STAR,-0.0001683731,302,51688,360
1237648705126203464,211.396651922459,0.577134478727488,17.51738,16.39885,15.99435,15.86098,15.8078,752,301,5,453,340128452814333952,STAR,3.658309E-05,302,51688,388
1237648705126268981,211.539853929491,0.438625006299233,18.41508,17.22574,17.26147,17.32877,17.39884,752,301,5,454,340137523785263104,STAR,-6.331312E-05,302,51688,421
1237648705126334670,211.75671983428,0.50240077075845,18.00204,17.57108,17.68012,17.79239,17.95845,752,301,5,455,340153466703865856,STAR,-0.0001439157,302,51688,479
1237648705126596624,212.224060354856,0.482521098579942,17.20051,16.067,15.65591,15.48406,15.41381,752,301,5,459,341241432234813440,STAR,-8.335744E-06,303,51615,341
1237648705126858827,212.873432257299,0.513911742474301,17.31666,16.0746,15.62796,15.46554,15.40222,752,301,5,463,340183978151536640,STAR,-2.001234E-05,302,51688,590
1237648705126924431,212.956273596424,0.554801292113863,19.56446,18.7037,18.38892,18.28813,18.22342,752,301,5,464,4542118363011502080,STAR,-6.367115E-05,4034,55635,866
1237648705127120948,213.491826606978,0.609767193745397,18.93657,17.76575,17.32153,17.17787,17.11163,752,301,5,467,342367057163085824,STAR,-0.0001580133,304,51609,340
1237648705127448627,214.184711691309,0.428479939983851,17.73579,16.6547,16.28872,16.17036,16.12519,752,301,5,472,342375028622387200,STAR,5.669787E-05,304,51609,369
1237648705127514171,214.373420266706,0.540482321382514,17.94596,17.12063,16.75793,16.64938,16.58862,752,301,5,473,4538660123544145920,STAR,-0.0001298088,4031,55604,573
1237648705127514174,214.37651539712,0.433645565079143,18.12384,17.35363,16.98383,16.886,16.85861,752,301,5,473,342373379354945536,STAR,-8.767498E-05,304,51609,363
1237648705127645237,214.665231216907,0.531755259981365,18.922,18.62193,18.44758,18.48919,18.64995,752,301,5,475,341309327077828608,STAR,-0.0003243316,303,51615,588
1237648705127710772,214.82804493332,0.430648404812088,18.89051,17.42338,16.85839,16.64739,16.94267,752,301,5,476,342387398128199680,STAR,-0.0001317404,304,51609,414
1237648705127907574,215.320800078389,0.463793058908584,19.24232,18.08047,17.68805,17.74941,17.51387,752,301,5,479,343488833968433152,STAR,4.219572E-05,305,51613,325
1237648705128103942,215.650295594171,0.556397093951815,17.73281,16.72213,16.32467,16.10622,15.91971,752,301,5,482,342417909575870464,STAR,-0.0002771017,304,51609,525
1237648705128103945,215.655950874621,0.518131890220979,17.8552,16.68947,16.07681,15.78638,15.51808,752,301,5,482,342418734209591296,STAR,-0.0004168184,304,51609,528
1237648705128103969,215.689779761131,0.444442862633699,18.16379,17.15495,16.71074,16.43585,16.20527,752,301,5,482,342418459331684352,STAR,-0.0001514552,304,51609,527
1237648705128103973,215.691135667943,0.467032767453646,17.37073,16.3829,15.80287,15.70182,15.47991,752,301,5,482,342416810064242688,STAR,-0.0003111906,304,51609,521
1237648705128103978,215.691772596614,0.607520985481603,17.50026,16.70191,16.27915,16.1204,15.90042,752,301,5,482,342430004203776000,STAR,0.0001692139,304,51609,569
1237648705128104025,215.721632978984,0.42553275062401,18.74431,17.55773,17.02598,16.62839,16.32056,752,301,5,482,342417634697963520,STAR,-0.0007767853,304,51609,524
1237648705128104041,215.740813585699,0.565673232390656,18.20939,17.15013,16.47498,16.38424,16.1266,752,301,5,482,342429179570055168,STAR,-8.826284E-05,304,51609,566
